TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.067149	0.050956	0.044429	0.051663	0.056399	0.068043	0.063239	0.064579	0.056810	0.078643	0.052127	0.057007	0.062572	0.052483	0.061448	0.068994	0.043457
A	0.060294	0.054915	0.047673	0.047480	0.043234	0.093589	0.066933	0.073065	0.067144	0.066719	0.072125	0.043384	0.053599	0.053755	0.046666	0.047143	0.062280
boy	0.094011	0.052801	0.049426	0.032335	0.093376	0.061568	0.062302	0.060204	0.054714	0.053271	0.044424	0.057327	0.045449	0.064845	0.050460	0.076199	0.047286
is	0.047267	0.057487	0.042901	0.040953	0.048577	0.074779	0.065568	0.056542	0.079792	0.062121	0.072106	0.037355	0.064106	0.075400	0.046946	0.059634	0.068465
jumping	0.048509	0.051602	0.063067	0.062507	0.075354	0.059536	0.063221	0.077480	0.055016	0.051341	0.061568	0.059208	0.050043	0.059909	0.042410	0.057503	0.061727
on	0.041601	0.062194	0.067242	0.060121	0.047083	0.074784	0.078483	0.056328	0.063456	0.060750	0.060901	0.045114	0.057959	0.046549	0.056731	0.064701	0.056004
skate	0.043448	0.039005	0.058387	0.072373	0.050622	0.075931	0.082329	0.068466	0.057425	0.046038	0.066315	0.048637	0.066563	0.058998	0.054623	0.049862	0.060978
##board	0.037206	0.046895	0.073026	0.066253	0.058777	0.069891	0.044806	0.056207	0.063876	0.074125	0.053735	0.054062	0.062239	0.057571	0.065532	0.060367	0.055433
in	0.061998	0.061661	0.051596	0.059184	0.065187	0.062934	0.083261	0.054038	0.058514	0.043016	0.056974	0.047832	0.053553	0.074037	0.051712	0.053675	0.060828
the	0.051368	0.045496	0.066292	0.052736	0.064929	0.054544	0.063436	0.057605	0.062411	0.079712	0.053161	0.067514	0.059441	0.071013	0.037961	0.052994	0.059386
middle	0.071356	0.067043	0.056370	0.043608	0.062257	0.061318	0.048928	0.070850	0.054455	0.078860	0.052069	0.052027	0.056021	0.058304	0.055184	0.057708	0.053643
of	0.051180	0.055092	0.063456	0.049271	0.037365	0.066470	0.064316	0.085709	0.068615	0.054855	0.080619	0.051743	0.048632	0.062632	0.054094	0.061288	0.044660
a	0.041230	0.054998	0.070287	0.059992	0.050958	0.050580	0.060735	0.061947	0.073570	0.061390	0.072301	0.055393	0.069682	0.053646	0.063840	0.056570	0.042882
red	0.043376	0.069693	0.053047	0.058736	0.054105	0.067999	0.061955	0.071254	0.057320	0.058092	0.060858	0.054825	0.047447	0.061914	0.064620	0.064648	0.050110
bridge	0.060827	0.043015	0.032641	0.059677	0.069387	0.060817	0.073952	0.054793	0.071785	0.053403	0.054894	0.036747	0.049397	0.087799	0.066622	0.078331	0.045912
.	0.051931	0.051070	0.053495	0.050721	0.063391	0.065107	0.060817	0.076813	0.085598	0.050114	0.080239	0.046733	0.045477	0.079653	0.043137	0.051781	0.043922
[SEP]	0.044601	0.043547	0.077456	0.064888	0.056381	0.051864	0.037229	0.071183	0.070395	0.051870	0.080844	0.060750	0.044612	0.066365	0.065185	0.050935	0.061897
