TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.053749	0.053361	0.044752	0.040194	0.066571	0.063066	0.093457	0.040389	0.046554	0.065235	0.088169	0.053295	0.053904	0.059957	0.059074	0.081761	0.036512
A	0.077881	0.063193	0.070060	0.045244	0.048388	0.050760	0.056887	0.038581	0.079639	0.051691	0.082382	0.055549	0.064271	0.073106	0.064237	0.039847	0.038284
boy	0.041589	0.096096	0.059057	0.065574	0.048987	0.046759	0.069143	0.037574	0.043546	0.069319	0.085709	0.070553	0.064082	0.048395	0.057126	0.047831	0.048660
is	0.041377	0.100036	0.071347	0.065720	0.039161	0.054309	0.068231	0.030800	0.038656	0.066501	0.078881	0.066746	0.045577	0.061277	0.057585	0.068477	0.045319
jumping	0.038722	0.067986	0.072512	0.067696	0.044148	0.083516	0.052645	0.047617	0.044016	0.067353	0.086167	0.053011	0.063301	0.069370	0.051077	0.038542	0.052322
on	0.060930	0.073731	0.061269	0.073089	0.038643	0.044435	0.073240	0.048831	0.056750	0.070399	0.068935	0.045252	0.044425	0.060222	0.077509	0.068949	0.033392
skate	0.041767	0.098811	0.081035	0.060279	0.051220	0.066688	0.066677	0.045891	0.050334	0.046568	0.056183	0.056171	0.053389	0.069392	0.047816	0.045469	0.062306
##board	0.048632	0.092180	0.067440	0.068747	0.067407	0.093699	0.080046	0.040130	0.046933	0.044822	0.061218	0.051974	0.031879	0.043165	0.062108	0.049476	0.050144
in	0.052426	0.097018	0.051340	0.065040	0.059063	0.062794	0.097346	0.041701	0.041700	0.054607	0.065394	0.049797	0.055201	0.051236	0.055615	0.052047	0.047676
the	0.048043	0.092465	0.048045	0.047224	0.056240	0.062180	0.078323	0.048608	0.050813	0.054414	0.080364	0.049406	0.049087	0.074132	0.049643	0.077243	0.033770
middle	0.057382	0.117189	0.051437	0.064026	0.058844	0.082621	0.113618	0.026451	0.036901	0.051115	0.064358	0.053480	0.033666	0.053420	0.039935	0.052738	0.042817
of	0.044324	0.098670	0.065319	0.053207	0.062450	0.077218	0.068328	0.038510	0.052191	0.065900	0.055929	0.048781	0.060218	0.061283	0.046779	0.069201	0.031693
a	0.054955	0.095890	0.051679	0.076575	0.040671	0.067986	0.063778	0.043103	0.056423	0.065001	0.055288	0.058719	0.038426	0.047949	0.066872	0.064208	0.052476
red	0.064004	0.091575	0.071252	0.064019	0.062882	0.067908	0.077113	0.031239	0.031011	0.064408	0.075279	0.040812	0.050599	0.072552	0.050492	0.053502	0.031354
bridge	0.071360	0.087578	0.068213	0.046934	0.066194	0.077600	0.071623	0.029094	0.036952	0.057510	0.084251	0.060710	0.048669	0.055329	0.045570	0.054134	0.038278
.	0.068845	0.074227	0.051068	0.045579	0.053387	0.066015	0.070854	0.037279	0.041210	0.075266	0.094354	0.061621	0.049627	0.045935	0.045892	0.073741	0.045101
[SEP]	0.063551	0.088496	0.070848	0.067221	0.033356	0.059490	0.051051	0.042168	0.046547	0.073943	0.078619	0.063535	0.060623	0.057117	0.051767	0.057385	0.034285
