TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.070351	0.050938	0.053629	0.054509	0.043962	0.052113	0.049486	0.059645	0.074752	0.064972	0.046869	0.057906	0.066745	0.070923	0.061651	0.054084	0.067465
A	0.048749	0.039701	0.058261	0.036953	0.067124	0.072320	0.076436	0.053325	0.069723	0.065531	0.040876	0.047913	0.063267	0.058474	0.086571	0.050716	0.064060
boy	0.042241	0.032450	0.078218	0.050506	0.076594	0.055867	0.060098	0.075301	0.051482	0.060095	0.049037	0.053946	0.070104	0.066631	0.052870	0.062005	0.062554
is	0.043562	0.050045	0.055832	0.051220	0.069842	0.065195	0.082468	0.045521	0.073309	0.047467	0.036056	0.054105	0.095062	0.051877	0.071319	0.046416	0.060703
jumping	0.047710	0.046725	0.076611	0.043938	0.067208	0.062660	0.059320	0.042911	0.052891	0.077696	0.044978	0.049493	0.074674	0.053607	0.073799	0.054737	0.071042
on	0.060275	0.034311	0.052670	0.060867	0.081712	0.049740	0.040690	0.052720	0.066086	0.085631	0.046464	0.041056	0.084088	0.078202	0.057145	0.046949	0.061392
skate	0.061603	0.032701	0.060497	0.054387	0.039330	0.053740	0.051749	0.044709	0.096091	0.077625	0.041151	0.042318	0.054740	0.078134	0.083112	0.057871	0.070243
##board	0.049950	0.025283	0.057532	0.054746	0.067681	0.057437	0.054320	0.054096	0.061097	0.076772	0.051752	0.050116	0.065167	0.068249	0.063695	0.059733	0.082372
in	0.064356	0.045354	0.059339	0.055327	0.059428	0.062477	0.066391	0.057200	0.066933	0.073421	0.043332	0.046596	0.055917	0.077077	0.058258	0.054996	0.053595
the	0.062960	0.052081	0.051099	0.047200	0.071664	0.073195	0.053854	0.058820	0.054997	0.065149	0.065476	0.058314	0.070039	0.060062	0.044608	0.049681	0.060801
middle	0.046521	0.052586	0.058990	0.045074	0.074955	0.072559	0.071581	0.056290	0.046774	0.069932	0.055464	0.041022	0.073946	0.061352	0.054476	0.053210	0.065269
of	0.048782	0.035360	0.062518	0.056791	0.059715	0.053891	0.046129	0.062802	0.065456	0.068678	0.068317	0.058324	0.076835	0.064211	0.054992	0.050279	0.066918
a	0.049034	0.044594	0.054527	0.059639	0.086187	0.074530	0.057388	0.042669	0.052250	0.058430	0.051878	0.068954	0.071472	0.057959	0.050663	0.060954	0.058869
red	0.078998	0.032363	0.063103	0.050649	0.054198	0.058453	0.058749	0.059102	0.094070	0.075148	0.039787	0.061360	0.051499	0.070625	0.043279	0.047873	0.060743
bridge	0.056259	0.034404	0.055965	0.057756	0.045587	0.059841	0.064973	0.058233	0.088365	0.053155	0.055818	0.052600	0.056708	0.077187	0.066406	0.060367	0.056375
.	0.047982	0.052045	0.042926	0.054604	0.049276	0.082175	0.057284	0.041263	0.062830	0.086860	0.055482	0.060568	0.060751	0.066784	0.062828	0.066423	0.049919
[SEP]	0.045922	0.031247	0.072418	0.050259	0.059137	0.058996	0.064037	0.049767	0.070748	0.075074	0.039918	0.046887	0.078638	0.056033	0.079940	0.048416	0.072563
