TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.040240	0.054520	0.049916	0.026045	0.110081	0.066149	0.073408	0.064034	0.058816	0.063728	0.067085	0.068731	0.038989	0.050622	0.051809	0.061228	0.054600
A	0.048039	0.085917	0.035337	0.044577	0.066462	0.064884	0.070308	0.052916	0.059266	0.052005	0.051455	0.077148	0.059852	0.041075	0.062103	0.068918	0.059738
boy	0.046644	0.064665	0.063848	0.034720	0.076390	0.065949	0.054840	0.064645	0.055304	0.070075	0.054332	0.048642	0.063854	0.056295	0.058602	0.060795	0.060402
is	0.040854	0.051645	0.063343	0.044034	0.130153	0.045067	0.047040	0.064460	0.054440	0.047802	0.059172	0.045983	0.062754	0.055362	0.058473	0.062191	0.067224
jumping	0.037685	0.060577	0.044344	0.043805	0.121036	0.053558	0.059458	0.043504	0.057004	0.056705	0.074173	0.043849	0.064394	0.049471	0.062297	0.061675	0.066465
on	0.041335	0.053196	0.054173	0.035741	0.103361	0.056507	0.065571	0.054649	0.062195	0.070230	0.058768	0.057870	0.045435	0.054660	0.071572	0.067358	0.047378
skate	0.036639	0.055391	0.044683	0.034201	0.092913	0.051319	0.075557	0.092864	0.057305	0.053926	0.082161	0.056262	0.054836	0.045157	0.056703	0.059318	0.050765
##board	0.053990	0.055388	0.049324	0.043222	0.087046	0.070368	0.066248	0.054368	0.073252	0.064784	0.059234	0.058383	0.032586	0.045896	0.047442	0.083491	0.054975
in	0.050744	0.042675	0.060840	0.034827	0.106413	0.057654	0.050386	0.072305	0.051072	0.059165	0.069754	0.053080	0.053000	0.066131	0.049709	0.066747	0.055497
the	0.037083	0.056371	0.064305	0.039927	0.068343	0.051476	0.056882	0.070250	0.052059	0.058751	0.059165	0.051387	0.079636	0.072966	0.064153	0.061360	0.055885
middle	0.049998	0.058525	0.054942	0.034204	0.076575	0.065335	0.071499	0.067890	0.077635	0.064814	0.061319	0.061896	0.050118	0.048640	0.047938	0.065842	0.042830
of	0.037125	0.059574	0.038889	0.037472	0.109566	0.064093	0.053601	0.053070	0.058449	0.077146	0.046618	0.055101	0.052388	0.048049	0.066372	0.079591	0.062895
a	0.056920	0.053578	0.055599	0.041838	0.081859	0.061095	0.066909	0.055041	0.047297	0.068265	0.057088	0.071468	0.055379	0.049033	0.050915	0.071107	0.056608
red	0.037272	0.049692	0.050772	0.041784	0.074968	0.073507	0.074789	0.050989	0.074612	0.060277	0.059704	0.070576	0.041752	0.055125	0.043244	0.080020	0.060917
bridge	0.039776	0.051199	0.049347	0.035885	0.077635	0.073152	0.058179	0.059276	0.055774	0.075137	0.085328	0.064716	0.059564	0.044716	0.049814	0.067189	0.053313
.	0.039512	0.058821	0.048187	0.035221	0.098736	0.060948	0.047600	0.058117	0.062542	0.083980	0.068993	0.044117	0.068114	0.048834	0.054222	0.062739	0.059316
[SEP]	0.038787	0.056219	0.042122	0.035193	0.123435	0.050075	0.085871	0.061705	0.048554	0.063989	0.054036	0.050024	0.049526	0.049986	0.045590	0.085606	0.059282
