TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.070933	0.062184	0.050796	0.065924	0.055685	0.048752	0.042731	0.063063	0.052083	0.059670	0.052336	0.073090	0.055070	0.073692	0.059987	0.051608	0.062398
A	0.046910	0.065575	0.060581	0.055902	0.052253	0.056648	0.057393	0.071273	0.053198	0.064703	0.049053	0.061913	0.053850	0.057586	0.058301	0.069258	0.065604
boy	0.070709	0.047478	0.066301	0.040004	0.053635	0.068360	0.047625	0.062414	0.044644	0.075523	0.057782	0.062616	0.050911	0.052653	0.047852	0.084549	0.066945
is	0.056677	0.072094	0.048389	0.066091	0.050104	0.062161	0.037345	0.061694	0.050271	0.077874	0.067007	0.061127	0.048562	0.048745	0.068788	0.052865	0.070206
jumping	0.079350	0.077972	0.045366	0.076450	0.052066	0.049773	0.076010	0.043647	0.066487	0.066489	0.049405	0.053739	0.040734	0.053496	0.052019	0.056900	0.060096
on	0.055712	0.092066	0.035666	0.065350	0.054132	0.039975	0.051616	0.064729	0.056102	0.065156	0.064143	0.075277	0.045559	0.043071	0.063786	0.052661	0.075000
skate	0.068716	0.070520	0.040873	0.043396	0.057298	0.081573	0.070134	0.055674	0.045389	0.072748	0.063110	0.066332	0.056463	0.043884	0.057496	0.049591	0.056803
##board	0.068726	0.064949	0.057671	0.057316	0.048815	0.066299	0.043882	0.065026	0.045945	0.067627	0.057189	0.072047	0.069581	0.051988	0.051561	0.047615	0.063764
in	0.075452	0.084616	0.051344	0.067695	0.044638	0.051668	0.049656	0.069569	0.056958	0.072894	0.057357	0.061303	0.050117	0.036658	0.063224	0.048789	0.058062
the	0.064760	0.058634	0.033758	0.047094	0.058423	0.059732	0.060945	0.066750	0.049514	0.076813	0.060734	0.083822	0.045030	0.059202	0.060355	0.060949	0.053484
middle	0.058268	0.074464	0.041407	0.066023	0.044802	0.077666	0.053829	0.073021	0.060459	0.058780	0.052488	0.080489	0.047789	0.050906	0.056301	0.048466	0.054841
of	0.054297	0.049293	0.048063	0.039403	0.049754	0.050549	0.047054	0.111426	0.049133	0.062774	0.050473	0.094645	0.060200	0.060440	0.058397	0.057777	0.056321
a	0.105840	0.061660	0.055687	0.049152	0.051903	0.050921	0.047254	0.061197	0.051525	0.051406	0.053789	0.075301	0.040390	0.059349	0.060461	0.069494	0.054671
red	0.061150	0.067044	0.052970	0.056078	0.051706	0.059133	0.053296	0.078091	0.048707	0.065030	0.063058	0.071842	0.059093	0.042184	0.064694	0.043033	0.062891
bridge	0.058499	0.059565	0.051208	0.058468	0.069648	0.075151	0.082745	0.049656	0.047735	0.058419	0.058478	0.078519	0.037766	0.040683	0.071083	0.051245	0.051132
.	0.073222	0.062415	0.061133	0.068293	0.055908	0.048443	0.054392	0.052528	0.056613	0.064121	0.059816	0.059120	0.049556	0.048641	0.057042	0.065681	0.063075
[SEP]	0.076070	0.062798	0.048257	0.059264	0.053709	0.062399	0.064829	0.065385	0.040853	0.065806	0.066383	0.068202	0.040292	0.044343	0.061802	0.054577	0.065032
