TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.006127	0.067785	0.030085	0.180222	0.061985	0.026109	0.016970	0.028123	0.028238	0.018899	0.038753	0.020563	0.069588	0.025117	0.053644	0.146764	0.181030
A	0.038917	0.151116	0.188295	0.198550	0.050333	0.007664	0.022985	0.020196	0.015936	0.019283	0.002620	0.003317	0.038311	0.005881	0.018005	0.121381	0.097210
boy	0.027839	0.002025	0.094536	0.003802	0.023199	0.004519	0.058231	0.045288	0.003458	0.000660	0.002438	0.000904	0.000962	0.004639	0.020327	0.191947	0.515224
is	0.076736	0.172409	0.134467	0.136653	0.061877	0.008807	0.020351	0.015459	0.036513	0.037720	0.003594	0.007527	0.065493	0.005716	0.010058	0.110989	0.095630
jumping	0.027099	0.004498	0.094505	0.009925	0.124041	0.018145	0.072538	0.081008	0.012406	0.002312	0.008228	0.002101	0.002302	0.005594	0.021984	0.114141	0.399172
on	0.018425	0.003078	0.157963	0.017233	0.077459	0.015275	0.052837	0.083090	0.005427	0.001197	0.004698	0.001281	0.001569	0.008737	0.028134	0.137038	0.386560
skate	0.025315	0.001020	0.017871	0.002903	0.004218	0.001756	0.030826	0.015096	0.002562	0.000442	0.001801	0.001063	0.001527	0.009017	0.009087	0.192341	0.683155
##board	0.017373	0.000527	0.021712	0.003485	0.017517	0.004689	0.091050	0.083811	0.004076	0.000286	0.005331	0.000863	0.000604	0.008423	0.026654	0.136340	0.577257
in	0.048914	0.008798	0.056700	0.030026	0.117800	0.007114	0.043210	0.066165	0.037373	0.008146	0.020626	0.008164	0.013858	0.010152	0.045859	0.153716	0.323379
the	0.061252	0.049646	0.225974	0.098896	0.163237	0.008230	0.051607	0.055098	0.031801	0.020385	0.011280	0.009115	0.037499	0.011259	0.052001	0.057436	0.055284
middle	0.025494	0.002674	0.024677	0.007626	0.034049	0.002044	0.042586	0.025504	0.009706	0.001625	0.011863	0.004779	0.005034	0.015418	0.046791	0.187085	0.553046
of	0.061680	0.011949	0.060590	0.051361	0.073690	0.004034	0.037321	0.032229	0.030896	0.008536	0.020757	0.019943	0.039846	0.043669	0.170545	0.128069	0.204886
a	0.066228	0.054059	0.127556	0.106621	0.061608	0.004755	0.024125	0.023766	0.038121	0.018893	0.012038	0.015051	0.093427	0.027674	0.106149	0.117140	0.102789
red	0.041629	0.006604	0.038117	0.008068	0.019175	0.003044	0.037275	0.015862	0.007270	0.001519	0.011406	0.012363	0.018710	0.140665	0.171582	0.115381	0.351330
bridge	0.014916	0.000319	0.008187	0.001080	0.006607	0.001178	0.028830	0.013496	0.001359	0.000142	0.002565	0.001073	0.001033	0.014518	0.052335	0.140151	0.712212
.	0.005563	0.000661	0.001159	0.002782	0.001371	0.000943	0.002167	0.001124	0.000615	0.000250	0.000475	0.000357	0.000509	0.000370	0.001855	0.374004	0.605793
[SEP]	0.004121	0.000574	0.000943	0.002681	0.001436	0.001512	0.001827	0.001153	0.000915	0.000404	0.000800	0.000813	0.000645	0.000691	0.002353	0.416754	0.562378
