TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.025202	0.195603	0.067225	0.200242	0.066674	0.043263	0.016890	0.047017	0.025762	0.062339	0.012274	0.006154	0.038251	0.006642	0.035861	0.065654	0.084947
A	0.004366	0.008688	0.012242	0.021245	0.005855	0.009104	0.005813	0.013663	0.001347	0.000941	0.000891	0.000341	0.001842	0.000995	0.006510	0.335100	0.571056
boy	0.005816	0.014781	0.017161	0.036573	0.020058	0.022748	0.011656	0.013065	0.006084	0.004568	0.003311	0.002644	0.006468	0.005550	0.009745	0.332392	0.487381
is	0.007117	0.009695	0.014974	0.028177	0.019064	0.053791	0.029332	0.027921	0.008243	0.004106	0.007441	0.001126	0.005062	0.005552	0.023862	0.298119	0.456419
jumping	0.007839	0.006358	0.009084	0.029162	0.018626	0.147506	0.039403	0.025649	0.041490	0.015935	0.068976	0.003727	0.007704	0.012014	0.012316	0.228599	0.325612
on	0.002645	0.000788	0.001656	0.005675	0.003175	0.022032	0.032480	0.019534	0.006146	0.001947	0.011516	0.000267	0.001057	0.002627	0.007133	0.330089	0.551232
skate	0.008748	0.005088	0.013992	0.011706	0.034523	0.048330	0.042788	0.071526	0.017138	0.005452	0.018874	0.004195	0.004666	0.018162	0.053578	0.258606	0.382629
##board	0.002919	0.003222	0.004013	0.012646	0.014248	0.027521	0.022884	0.009122	0.006990	0.002155	0.011350	0.000898	0.001598	0.005999	0.006571	0.341393	0.526473
in	0.001685	0.001225	0.002698	0.005118	0.002540	0.003335	0.006607	0.003916	0.002679	0.000932	0.008527	0.000829	0.001338	0.003461	0.013387	0.358352	0.583373
the	0.001840	0.001832	0.004764	0.006416	0.003684	0.009389	0.008857	0.002995	0.001481	0.000758	0.005151	0.000470	0.000994	0.002271	0.004343	0.349363	0.595393
middle	0.000579	0.000190	0.001150	0.000535	0.001121	0.000444	0.002439	0.000424	0.001184	0.000242	0.004612	0.000557	0.000373	0.005113	0.004750	0.377481	0.598806
of	0.001118	0.000604	0.001951	0.001548	0.001100	0.000706	0.005085	0.001566	0.000671	0.000279	0.002899	0.000447	0.000774	0.004413	0.012384	0.340856	0.623599
a	0.002875	0.002320	0.010227	0.005621	0.005272	0.005290	0.012855	0.009363	0.001906	0.000905	0.005472	0.000891	0.002555	0.013697	0.033790	0.327074	0.559885
red	0.003790	0.001918	0.003552	0.002232	0.007484	0.003836	0.018087	0.006415	0.002071	0.001464	0.004491	0.003802	0.003935	0.022695	0.045875	0.335028	0.533326
bridge	0.002430	0.001461	0.004210	0.002346	0.007543	0.003584	0.010356	0.002767	0.006651	0.001666	0.006704	0.006952	0.002909	0.058336	0.020789	0.345542	0.515755
.	0.037379	0.041088	0.070745	0.048166	0.076761	0.047528	0.072788	0.055149	0.040909	0.040481	0.052716	0.038643	0.039954	0.080495	0.104488	0.073345	0.079365
[SEP]	0.038374	0.040510	0.072396	0.045959	0.075960	0.053379	0.075695	0.064746	0.047091	0.046765	0.061538	0.043262	0.040004	0.083588	0.106005	0.051024	0.053705
