TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.047665	0.227898	0.031793	0.257660	0.071234	0.016661	0.009923	0.013221	0.022307	0.056408	0.005305	0.021037	0.088620	0.009135	0.004314	0.066566	0.050254
A	0.169823	0.225808	0.055308	0.153339	0.068681	0.017176	0.013684	0.017293	0.019454	0.047626	0.000905	0.004334	0.029721	0.001803	0.001004	0.102272	0.071768
boy	0.036900	0.055533	0.363307	0.072920	0.073912	0.039409	0.008382	0.009605	0.006220	0.009210	0.000527	0.000674	0.002054	0.001124	0.000602	0.111744	0.207878
is	0.193671	0.394141	0.068484	0.165767	0.017607	0.009733	0.002756	0.003407	0.011519	0.033033	0.000239	0.002264	0.025742	0.000368	0.000147	0.043196	0.027927
jumping	0.111673	0.093694	0.168009	0.083652	0.121678	0.105527	0.016453	0.042563	0.022681	0.023454	0.001272	0.004946	0.016205	0.003020	0.002174	0.093451	0.089548
on	0.110716	0.144369	0.285909	0.115829	0.073632	0.058549	0.014182	0.020460	0.016372	0.034055	0.000913	0.004116	0.028449	0.001788	0.001991	0.048378	0.040292
skate	0.144835	0.057471	0.103824	0.050876	0.081643	0.072153	0.033858	0.036060	0.031493	0.041160	0.010436	0.019800	0.036162	0.012573	0.028314	0.082992	0.156349
##board	0.124946	0.038005	0.090339	0.039260	0.115261	0.102051	0.025774	0.050104	0.041322	0.028078	0.010579	0.020825	0.039308	0.009929	0.010599	0.103585	0.150036
in	0.118976	0.117276	0.057246	0.124313	0.062827	0.033841	0.018061	0.023348	0.058242	0.056686	0.009362	0.044646	0.128909	0.014782	0.008025	0.060337	0.063122
the	0.143981	0.230873	0.113577	0.230226	0.058636	0.020082	0.006291	0.007775	0.030131	0.056261	0.001322	0.008097	0.054919	0.001475	0.001037	0.022114	0.013203
middle	0.063794	0.029066	0.008731	0.040117	0.012523	0.032731	0.013758	0.015064	0.078232	0.021910	0.026996	0.078797	0.102156	0.021471	0.014261	0.155896	0.284497
of	0.096332	0.043647	0.009110	0.080076	0.018455	0.010889	0.014191	0.011096	0.071523	0.051949	0.034841	0.101808	0.232617	0.031495	0.006993	0.083348	0.101632
a	0.149845	0.164278	0.013322	0.153346	0.025661	0.007247	0.010036	0.007257	0.041339	0.087086	0.005659	0.035455	0.237271	0.004271	0.001369	0.034451	0.022106
red	0.025382	0.009787	0.002706	0.030395	0.008934	0.009281	0.016177	0.013056	0.037890	0.017488	0.025990	0.121210	0.152386	0.078461	0.006364	0.129149	0.315344
bridge	0.042408	0.009898	0.007303	0.017428	0.024495	0.034228	0.022243	0.031401	0.044202	0.010266	0.025758	0.106963	0.087449	0.110782	0.051960	0.092844	0.280373
.	0.031249	0.056149	0.027947	0.054017	0.021731	0.014014	0.025535	0.009769	0.007690	0.010127	0.004315	0.005894	0.017693	0.006828	0.005702	0.237181	0.464160
[SEP]	0.018368	0.031618	0.024596	0.031824	0.023426	0.019050	0.050920	0.017812	0.011558	0.011423	0.012354	0.012358	0.021953	0.016706	0.025081	0.203153	0.467800
