TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.032847	0.163357	0.119976	0.267172	0.068469	0.004671	0.010705	0.007393	0.013657	0.058609	0.002494	0.002755	0.040812	0.002862	0.008118	0.086592	0.109511
A	0.001853	0.002721	0.008222	0.004457	0.002609	0.000169	0.004218	0.001283	0.000265	0.001128	0.000074	0.000077	0.000602	0.000356	0.001000	0.350600	0.620365
boy	0.010003	0.009304	0.015227	0.017609	0.011725	0.001585	0.016663	0.006960	0.003419	0.007914	0.000734	0.000869	0.004423	0.001626	0.004818	0.354984	0.532138
is	0.003429	0.003635	0.009716	0.006168	0.007766	0.000804	0.009251	0.005110	0.001418	0.002031	0.000306	0.000388	0.001232	0.000694	0.002350	0.353208	0.592494
jumping	0.002087	0.001179	0.003889	0.001638	0.003143	0.000577	0.006024	0.003763	0.001383	0.001211	0.000479	0.000408	0.000825	0.000781	0.003008	0.349968	0.619637
on	0.004804	0.005426	0.021031	0.006653	0.014807	0.002955	0.020188	0.013340	0.001920	0.002607	0.000514	0.000671	0.002079	0.001617	0.010150	0.333553	0.557686
skate	0.010697	0.016177	0.077463	0.022940	0.035757	0.010097	0.058684	0.022365	0.004482	0.009006	0.003951	0.003335	0.011395	0.015819	0.045353	0.260832	0.391645
##board	0.005455	0.008029	0.017423	0.022159	0.024221	0.004526	0.013665	0.015115	0.007670	0.006956	0.001713	0.002189	0.007330	0.003584	0.011766	0.326759	0.521439
in	0.000869	0.000747	0.004064	0.001612	0.003866	0.000589	0.003470	0.003985	0.001620	0.001135	0.000554	0.000822	0.001148	0.000920	0.007621	0.333383	0.633594
the	0.001476	0.001238	0.005559	0.001974	0.003936	0.000279	0.003616	0.002176	0.000546	0.000775	0.000074	0.000131	0.000463	0.000212	0.001797	0.339750	0.635998
middle	0.000879	0.000645	0.002813	0.000784	0.007785	0.001973	0.008718	0.011445	0.005900	0.001126	0.002852	0.004228	0.002348	0.004001	0.044152	0.330659	0.569692
of	0.000939	0.000913	0.003383	0.001970	0.005523	0.000611	0.011154	0.009588	0.001858	0.001249	0.000818	0.001910	0.002517	0.002249	0.025693	0.331670	0.597955
a	0.001864	0.002907	0.015132	0.004931	0.008508	0.000629	0.015790	0.006971	0.000958	0.001894	0.000870	0.001043	0.002538	0.001989	0.023028	0.341521	0.569428
red	0.001717	0.001607	0.004985	0.001232	0.006025	0.001206	0.047973	0.017939	0.002040	0.001706	0.007332	0.007325	0.005800	0.029598	0.189180	0.252898	0.421436
bridge	0.002059	0.001208	0.007105	0.002213	0.009893	0.002917	0.030162	0.016711	0.005529	0.002405	0.011861	0.005523	0.005118	0.015199	0.145591	0.270828	0.465679
.	0.043207	0.058066	0.073240	0.064070	0.056242	0.034673	0.056825	0.046991	0.035407	0.053391	0.038916	0.030672	0.047281	0.040356	0.046408	0.128341	0.145915
[SEP]	0.050462	0.068410	0.077852	0.071575	0.059451	0.041530	0.058703	0.050132	0.041408	0.064424	0.045107	0.037392	0.056534	0.045765	0.049641	0.087210	0.094406
