TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.462307	0.041120	0.013349	0.032335	0.019555	0.042549	0.015690	0.028889	0.039755	0.050149	0.015613	0.027742	0.042886	0.009436	0.013453	0.044501	0.100669
A	0.061599	0.013244	0.006293	0.054378	0.008615	0.127578	0.010014	0.016353	0.215541	0.149704	0.037167	0.064055	0.097914	0.009198	0.004708	0.064764	0.058876
boy	0.099690	0.012287	0.002034	0.038571	0.010412	0.076933	0.013090	0.047117	0.160717	0.221812	0.014642	0.055652	0.107817	0.005645	0.025402	0.070196	0.037982
is	0.155352	0.018269	0.011111	0.049015	0.026268	0.067443	0.016347	0.016427	0.160779	0.101022	0.021349	0.066210	0.052663	0.021140	0.012414	0.099659	0.104531
jumping	0.213591	0.011968	0.006044	0.072548	0.003294	0.055351	0.014988	0.053483	0.149715	0.111923	0.015502	0.070672	0.064765	0.055226	0.010459	0.057038	0.033433
on	0.134396	0.011645	0.006399	0.026204	0.010400	0.036485	0.024811	0.029649	0.162371	0.103727	0.043116	0.090435	0.118654	0.051509	0.024183	0.055381	0.070634
skate	0.348182	0.012322	0.003683	0.014153	0.007874	0.030644	0.007508	0.039315	0.072824	0.094762	0.011308	0.036890	0.115345	0.062975	0.046299	0.032839	0.063078
##board	0.448359	0.010524	0.001226	0.005618	0.000617	0.019946	0.009504	0.003902	0.066994	0.104917	0.005271	0.067426	0.107347	0.009388	0.009509	0.058157	0.071296
in	0.105801	0.012352	0.004354	0.020226	0.006414	0.020265	0.010830	0.016689	0.067350	0.054276	0.043651	0.086592	0.157969	0.067926	0.084485	0.113850	0.126970
the	0.074801	0.010305	0.003828	0.016355	0.006035	0.023395	0.010480	0.017078	0.055986	0.080600	0.031273	0.109714	0.156005	0.057545	0.045891	0.143609	0.157101
middle	0.388053	0.016554	0.009517	0.007933	0.004100	0.012053	0.007605	0.019585	0.021276	0.047653	0.007898	0.041156	0.106385	0.039738	0.018087	0.135276	0.117132
of	0.160202	0.015737	0.004397	0.028220	0.007927	0.020519	0.015756	0.016845	0.025927	0.042108	0.033853	0.054737	0.102662	0.039868	0.083700	0.196027	0.151515
a	0.151783	0.017580	0.002535	0.021686	0.004845	0.024609	0.010065	0.010186	0.035358	0.034553	0.035702	0.044159	0.124837	0.047656	0.064972	0.164836	0.204641
red	0.507071	0.028925	0.005920	0.022350	0.005840	0.013799	0.011850	0.010995	0.012716	0.028375	0.007063	0.022298	0.043670	0.004353	0.023427	0.160193	0.091155
bridge	0.522758	0.021626	0.016158	0.010568	0.003115	0.011548	0.016664	0.016415	0.021545	0.027434	0.006529	0.017466	0.054729	0.045016	0.001723	0.113846	0.092860
.	0.320754	0.041248	0.015679	0.040042	0.020671	0.033786	0.017494	0.016323	0.019699	0.026829	0.019954	0.021848	0.044628	0.025269	0.045898	0.154253	0.135625
[SEP]	0.768757	0.011034	0.004382	0.015471	0.006259	0.018266	0.010755	0.016025	0.009573	0.015726	0.008246	0.006885	0.015954	0.005274	0.010711	0.034132	0.042552
