TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.150198	0.022816	0.020749	0.042527	0.019697	0.014305	0.009553	0.022835	0.019705	0.024235	0.019769	0.041224	0.028857	0.013634	0.031600	0.136364	0.381930
A	0.011920	0.018342	0.180669	0.432446	0.097950	0.008657	0.005018	0.013312	0.008011	0.003201	0.014345	0.018304	0.005523	0.002478	0.018888	0.071794	0.089142
boy	0.064846	0.199261	0.062295	0.204277	0.180726	0.020048	0.015492	0.020320	0.004233	0.008299	0.011001	0.017386	0.019601	0.004911	0.006473	0.042404	0.118427
is	0.026772	0.136173	0.086185	0.070027	0.285054	0.031737	0.007555	0.038369	0.031461	0.020936	0.021742	0.039171	0.021086	0.003314	0.006475	0.102527	0.071417
jumping	0.124864	0.040535	0.056451	0.108189	0.054451	0.177551	0.020275	0.073784	0.028396	0.013598	0.029012	0.027978	0.016063	0.010089	0.005440	0.055066	0.158256
on	0.119533	0.023084	0.005291	0.052655	0.127789	0.005911	0.049849	0.101167	0.076785	0.034484	0.054209	0.035791	0.032631	0.004553	0.008868	0.080981	0.186419
skate	0.470275	0.008005	0.002118	0.002288	0.006440	0.008799	0.006013	0.012076	0.010912	0.017630	0.019710	0.007410	0.027630	0.016457	0.005279	0.018003	0.360954
##board	0.347798	0.017676	0.001729	0.011691	0.018678	0.059263	0.032477	0.003386	0.014932	0.025460	0.020778	0.018516	0.048233	0.006699	0.004525	0.038738	0.329424
in	0.078878	0.007322	0.001072	0.013719	0.023612	0.018235	0.010112	0.015082	0.030137	0.074744	0.123213	0.141841	0.102355	0.016929	0.021936	0.153505	0.167307
the	0.075551	0.004679	0.000952	0.006008	0.003433	0.001754	0.003463	0.011869	0.030630	0.029229	0.039588	0.133590	0.155324	0.052840	0.036033	0.216676	0.198379
middle	0.068097	0.018297	0.003959	0.002948	0.001991	0.002129	0.002555	0.007368	0.083694	0.027862	0.037282	0.389588	0.190806	0.009901	0.057519	0.052459	0.043548
of	0.087369	0.011183	0.000674	0.007014	0.006680	0.002355	0.003353	0.004010	0.034985	0.020661	0.037291	0.032380	0.173574	0.043430	0.045761	0.268843	0.220435
a	0.080261	0.001156	0.007430	0.003043	0.006289	0.001060	0.003327	0.013866	0.007352	0.006146	0.025548	0.050245	0.021733	0.086662	0.370759	0.212969	0.102154
red	0.101396	0.010125	0.008799	0.003647	0.014756	0.001337	0.003041	0.008465	0.012139	0.004575	0.015071	0.036725	0.053895	0.008386	0.565484	0.082623	0.069537
bridge	0.453242	0.022556	0.002577	0.002706	0.002702	0.006249	0.001433	0.001796	0.004348	0.015114	0.010610	0.034441	0.188489	0.032501	0.008673	0.111849	0.100716
.	0.113807	0.019548	0.014782	0.013379	0.019050	0.006736	0.005354	0.006572	0.012547	0.021667	0.010927	0.034228	0.059564	0.021256	0.041862	0.229215	0.369506
[SEP]	0.329824	0.008134	0.002306	0.002209	0.002229	0.003038	0.002431	0.003781	0.004055	0.006615	0.002186	0.005646	0.009288	0.003415	0.003249	0.044884	0.566709
