TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.112450	0.019702	0.098397	0.035028	0.042567	0.037115	0.064799	0.023027	0.030262	0.010474	0.013905	0.028433	0.016823	0.026656	0.040447	0.114211	0.285704
A	0.021225	0.002455	0.007628	0.001976	0.004476	0.002870	0.004685	0.000683	0.005741	0.001368	0.003738	0.002600	0.001793	0.002131	0.002374	0.233916	0.700342
boy	0.121432	0.004714	0.001129	0.003452	0.002485	0.003023	0.001507	0.000508	0.004640	0.002390	0.003622	0.005186	0.004802	0.005146	0.014620	0.188416	0.632928
is	0.018884	0.002015	0.004794	0.001746	0.003991	0.003823	0.006604	0.001181	0.004720	0.000856	0.003144	0.001238	0.000677	0.000910	0.001685	0.207057	0.736675
jumping	0.112969	0.011392	0.010390	0.008669	0.006555	0.011949	0.009149	0.002930	0.008999	0.004096	0.005584	0.005695	0.005989	0.003288	0.008823	0.187667	0.595857
on	0.112071	0.013358	0.021309	0.016457	0.017073	0.004182	0.024325	0.005629	0.021605	0.013745	0.033498	0.027018	0.017392	0.018821	0.031802	0.206729	0.414984
skate	0.080041	0.009874	0.006297	0.022275	0.008782	0.004288	0.003463	0.002234	0.003893	0.003655	0.004510	0.005604	0.009027	0.022600	0.023464	0.161161	0.628830
##board	0.092063	0.005833	0.005335	0.008415	0.010513	0.003497	0.019712	0.002769	0.006719	0.003856	0.014845	0.019949	0.014225	0.040413	0.090332	0.154030	0.507492
in	0.069852	0.031366	0.009498	0.017362	0.025521	0.013832	0.011204	0.003632	0.008846	0.005927	0.007923	0.009176	0.022995	0.005662	0.008163	0.219646	0.529396
the	0.049954	0.008502	0.021236	0.006901	0.008891	0.007323	0.005308	0.001429	0.003498	0.001299	0.002413	0.001562	0.002837	0.002943	0.002605	0.196165	0.677134
middle	0.233728	0.037667	0.006535	0.011842	0.016294	0.023239	0.021554	0.009446	0.011301	0.005148	0.003128	0.009068	0.041856	0.011006	0.015737	0.173646	0.368806
of	0.078455	0.017042	0.017557	0.013970	0.013487	0.018555	0.022992	0.006412	0.006542	0.002389	0.007137	0.004266	0.012318	0.004974	0.008747	0.206855	0.558302
a	0.021379	0.006651	0.014714	0.004706	0.008677	0.005556	0.009286	0.002393	0.004557	0.001077	0.004318	0.001947	0.001853	0.002506	0.003622	0.216185	0.690573
red	0.106495	0.015052	0.027781	0.004664	0.010652	0.014066	0.038111	0.020395	0.010993	0.003897	0.014904	0.012933	0.015103	0.005465	0.030482	0.189310	0.479697
bridge	0.067551	0.010537	0.012990	0.006155	0.010381	0.006020	0.037788	0.009290	0.004776	0.001663	0.006493	0.007381	0.012812	0.013700	0.022069	0.186869	0.583524
.	0.237479	0.053939	0.077564	0.037034	0.039072	0.048745	0.034004	0.024978	0.033097	0.023691	0.018336	0.017886	0.038179	0.021108	0.012102	0.175888	0.106897
[SEP]	0.216422	0.052170	0.066771	0.053135	0.056694	0.063075	0.051990	0.050666	0.049862	0.041285	0.028006	0.030294	0.046081	0.034160	0.027053	0.087927	0.044409
