TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.008171	0.538412	0.005494	0.308740	0.018202	0.007154	0.002062	0.001856	0.005918	0.032253	0.000286	0.002089	0.065545	0.000243	0.002491	0.000644	0.000439
A	0.000134	0.656905	0.003198	0.273264	0.008826	0.004975	0.000314	0.000232	0.001482	0.012288	0.000040	0.000093	0.019552	0.000016	0.000011	0.008790	0.009880
boy	0.000730	0.027900	0.397510	0.012678	0.019614	0.032067	0.012973	0.005949	0.004241	0.005342	0.000528	0.001101	0.003947	0.000315	0.000930	0.091699	0.382476
is	0.000552	0.400177	0.003140	0.321780	0.032014	0.007133	0.000425	0.000423	0.002438	0.018811	0.000149	0.000267	0.011465	0.000040	0.000169	0.072225	0.128791
jumping	0.000288	0.024776	0.013695	0.009682	0.347672	0.019797	0.007690	0.018394	0.005304	0.009547	0.001089	0.001959	0.005904	0.000300	0.002967	0.116915	0.414022
on	0.011059	0.017324	0.031852	0.014534	0.105604	0.113198	0.073741	0.183997	0.005799	0.005935	0.004254	0.004455	0.004276	0.002832	0.024963	0.125054	0.271124
skate	0.000729	0.006123	0.013291	0.003930	0.006604	0.006094	0.056291	0.012349	0.003606	0.001864	0.002028	0.005804	0.006156	0.006374	0.010722	0.160398	0.697637
##board	0.000602	0.005169	0.002819	0.002340	0.029683	0.018601	0.069982	0.048516	0.003760	0.001984	0.003232	0.003853	0.004477	0.001759	0.035018	0.147495	0.620711
in	0.001806	0.035489	0.002478	0.026878	0.228668	0.008297	0.018361	0.034806	0.023903	0.009561	0.010536	0.008315	0.029206	0.005248	0.082632	0.141660	0.332156
the	0.000907	0.287199	0.010691	0.129979	0.145681	0.011433	0.009384	0.008385	0.009235	0.016870	0.000831	0.001285	0.046739	0.000528	0.003350	0.095384	0.222120
middle	0.000803	0.003153	0.000798	0.001710	0.019118	0.001317	0.007258	0.024705	0.009064	0.001450	0.009146	0.012664	0.011332	0.008050	0.259888	0.086850	0.542694
of	0.001018	0.025761	0.001134	0.015946	0.042588	0.003360	0.014937	0.013334	0.017061	0.004702	0.008144	0.025030	0.072756	0.010708	0.266844	0.120471	0.356205
a	0.001377	0.399141	0.006079	0.120761	0.027998	0.009473	0.007166	0.004481	0.008684	0.012851	0.001823	0.004587	0.190826	0.002326	0.010509	0.069228	0.122689
red	0.001623	0.001301	0.001268	0.001483	0.004863	0.001835	0.008749	0.005851	0.002819	0.001014	0.002795	0.017904	0.007629	0.057462	0.544546	0.058233	0.280625
bridge	0.000405	0.004536	0.000645	0.002828	0.003953	0.003129	0.011949	0.006922	0.002012	0.001383	0.001659	0.015064	0.008915	0.003606	0.285355	0.085546	0.562093
.	0.005922	0.055561	0.011051	0.045854	0.012580	0.010112	0.009504	0.004023	0.006647	0.005981	0.000949	0.003492	0.025568	0.003189	0.001439	0.352529	0.445599
[SEP]	0.018834	0.057023	0.044156	0.060432	0.028244	0.021103	0.035739	0.014727	0.021545	0.018937	0.006205	0.023283	0.061205	0.018421	0.015274	0.274555	0.280318
