TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.120715	0.045388	0.036637	0.089826	0.008262	0.004532	0.010951	0.005055	0.005374	0.007980	0.008031	0.004531	0.027492	0.037894	0.013942	0.050715	0.522677
A	0.043414	0.119465	0.141629	0.330694	0.018093	0.011987	0.008051	0.005104	0.025868	0.011714	0.047349	0.017926	0.023529	0.021251	0.006444	0.148767	0.018714
boy	0.077623	0.304655	0.070783	0.154622	0.010742	0.012807	0.005614	0.002075	0.014208	0.009111	0.034349	0.016614	0.026596	0.009692	0.005052	0.200381	0.045076
is	0.104537	0.332616	0.142207	0.098369	0.016499	0.017093	0.004270	0.001733	0.037880	0.010049	0.024973	0.020624	0.024420	0.013781	0.003173	0.098818	0.048958
jumping	0.155312	0.186084	0.066908	0.086061	0.054588	0.031689	0.016353	0.010309	0.063417	0.014617	0.036977	0.015323	0.031647	0.009706	0.008239	0.129519	0.083251
on	0.080723	0.231948	0.110001	0.167977	0.027047	0.014066	0.010738	0.002492	0.021026	0.014459	0.030733	0.014352	0.045243	0.020135	0.009601	0.092475	0.106986
skate	0.199345	0.023997	0.075723	0.050684	0.013209	0.019390	0.025905	0.017827	0.010089	0.008889	0.013509	0.008146	0.013007	0.012098	0.017493	0.104384	0.386307
##board	0.053658	0.137707	0.105125	0.167664	0.048482	0.024826	0.021306	0.032142	0.012048	0.014420	0.018415	0.026615	0.073465	0.018618	0.012897	0.109279	0.123333
in	0.116810	0.145585	0.065602	0.083349	0.021338	0.006623	0.002896	0.000956	0.008284	0.021334	0.033798	0.018023	0.038779	0.011240	0.004480	0.121577	0.299326
the	0.067737	0.218538	0.091948	0.214284	0.014189	0.005543	0.002659	0.000600	0.016003	0.019070	0.042138	0.027341	0.049780	0.033135	0.004784	0.078158	0.114094
middle	0.092793	0.047007	0.046692	0.010704	0.041656	0.025585	0.009059	0.004546	0.088919	0.020155	0.018005	0.054235	0.022730	0.024725	0.011988	0.067544	0.413657
of	0.082161	0.182924	0.078855	0.190896	0.048778	0.013737	0.008989	0.002796	0.043243	0.016908	0.071338	0.035201	0.032263	0.030664	0.006582	0.094315	0.060349
a	0.045881	0.079003	0.123618	0.311254	0.046729	0.017110	0.015418	0.006789	0.033887	0.011528	0.069775	0.034845	0.029019	0.051600	0.009221	0.071851	0.042472
red	0.065941	0.064563	0.041986	0.040789	0.024018	0.023548	0.043948	0.011781	0.046934	0.014717	0.209926	0.046000	0.033154	0.070191	0.019877	0.092570	0.150057
bridge	0.090300	0.053178	0.035169	0.034671	0.031951	0.026448	0.039532	0.013898	0.047026	0.027483	0.030997	0.076767	0.074127	0.045712	0.012676	0.126518	0.233548
.	0.074811	0.257768	0.053070	0.151072	0.012170	0.007054	0.008541	0.002503	0.005334	0.014961	0.016781	0.011152	0.032394	0.022750	0.008298	0.092252	0.229087
[SEP]	0.001539	0.001540	0.000489	0.000446	0.000646	0.000434	0.000933	0.000490	0.000421	0.000260	0.000131	0.000428	0.000462	0.001134	0.003463	0.001549	0.985634
