TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.043159	0.027189	0.011666	0.017444	0.004619	0.010809	0.006786	0.001971	0.004902	0.002826	0.027720	0.010917	0.029475	0.015891	0.009969	0.036785	0.737872
A	0.113757	0.140103	0.046833	0.182196	0.016883	0.039043	0.018578	0.014345	0.041590	0.015566	0.024028	0.023603	0.091550	0.016216	0.007320	0.103877	0.104512
boy	0.172963	0.035085	0.037817	0.047024	0.012385	0.029562	0.021432	0.008174	0.025672	0.011788	0.013080	0.008378	0.024796	0.007531	0.003996	0.102869	0.437447
is	0.122945	0.096307	0.022683	0.111051	0.024681	0.038213	0.022900	0.011628	0.027488	0.012809	0.033544	0.015878	0.071513	0.010018	0.008546	0.112484	0.257312
jumping	0.256853	0.022551	0.010420	0.046795	0.021535	0.026898	0.011733	0.004638	0.030438	0.010238	0.026514	0.012777	0.030345	0.006064	0.006233	0.099255	0.376712
on	0.322752	0.022116	0.013332	0.035509	0.015824	0.018578	0.015199	0.007603	0.026410	0.011178	0.022516	0.017566	0.037790	0.007609	0.009105	0.063213	0.353700
skate	0.142746	0.022849	0.008388	0.015490	0.006259	0.005578	0.012024	0.007221	0.016892	0.012968	0.015128	0.019672	0.074610	0.021753	0.018372	0.039156	0.560894
##board	0.258247	0.021524	0.007078	0.015699	0.003645	0.005114	0.009998	0.003627	0.007623	0.004264	0.007606	0.009194	0.035956	0.014990	0.009583	0.040112	0.545741
in	0.186814	0.038886	0.014022	0.058828	0.018993	0.023013	0.008818	0.003570	0.015536	0.009695	0.036887	0.023319	0.050790	0.014593	0.013590	0.056678	0.425969
the	0.193875	0.094675	0.040978	0.130223	0.018847	0.046974	0.011312	0.005861	0.024893	0.014178	0.038489	0.026575	0.104082	0.027320	0.012066	0.078041	0.131611
middle	0.151528	0.008303	0.004371	0.015877	0.012817	0.008279	0.005545	0.002924	0.011034	0.006426	0.012623	0.007254	0.032186	0.013223	0.011037	0.026188	0.670385
of	0.111224	0.074670	0.041697	0.048785	0.008011	0.022038	0.008679	0.004466	0.011484	0.007866	0.026063	0.014566	0.112281	0.089240	0.021816	0.037853	0.359259
a	0.133498	0.106437	0.029461	0.074569	0.008397	0.029350	0.013632	0.006114	0.009862	0.006444	0.017245	0.028764	0.173265	0.124662	0.019977	0.051794	0.166529
red	0.120932	0.011588	0.006318	0.013945	0.005090	0.006205	0.011700	0.002642	0.003822	0.001766	0.005886	0.007390	0.015187	0.069347	0.018597	0.015509	0.684074
bridge	0.159471	0.015172	0.002829	0.007366	0.002589	0.002805	0.006848	0.001969	0.003647	0.001969	0.005396	0.005293	0.020914	0.050793	0.012049	0.017504	0.683386
.	0.081589	0.070500	0.023290	0.121138	0.012068	0.012687	0.008828	0.004299	0.009950	0.004271	0.004715	0.003870	0.019377	0.017677	0.003743	0.048282	0.553716
[SEP]	0.060284	0.001576	0.000704	0.003018	0.001404	0.000978	0.002132	0.000677	0.001383	0.000624	0.000772	0.000508	0.001052	0.001918	0.001752	0.008842	0.912375
