TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.022189	0.004866	0.006431	0.004634	0.000369	0.000544	0.000510	0.000290	0.001961	0.000222	0.000518	0.000945	0.001067	0.000912	0.000304	0.156954	0.797284
A	0.006906	0.029868	0.009422	0.016386	0.002709	0.001182	0.000214	0.000468	0.001055	0.000292	0.000759	0.001044	0.000351	0.000499	0.001249	0.013497	0.914099
boy	0.020969	0.296936	0.018224	0.053122	0.033462	0.031219	0.000791	0.000616	0.003576	0.001387	0.004440	0.007279	0.003096	0.003008	0.001229	0.021301	0.499345
is	0.019625	0.052237	0.068723	0.100181	0.023655	0.010852	0.002621	0.005602	0.002036	0.001500	0.000932	0.000582	0.001663	0.001158	0.001352	0.040562	0.666719
jumping	0.012316	0.023022	0.020465	0.227689	0.105146	0.097586	0.007507	0.011247	0.001806	0.002112	0.000771	0.000156	0.000269	0.000184	0.000281	0.004637	0.484806
on	0.016926	0.007491	0.011283	0.120563	0.358818	0.129089	0.006706	0.009735	0.001642	0.000748	0.000771	0.000222	0.000394	0.000296	0.000602	0.019082	0.315631
skate	0.007416	0.007124	0.003868	0.045604	0.023366	0.603369	0.001987	0.000472	0.000388	0.000647	0.001056	0.000174	0.001066	0.000424	0.000192	0.000668	0.302179
##board	0.004184	0.007643	0.005079	0.034452	0.050028	0.689224	0.018847	0.002901	0.001177	0.001678	0.008519	0.000704	0.004115	0.002794	0.000358	0.001727	0.166571
in	0.012962	0.002422	0.003651	0.017518	0.033574	0.003117	0.006786	0.072308	0.009069	0.003237	0.005674	0.000486	0.002548	0.000997	0.004259	0.005002	0.816390
the	0.019446	0.000978	0.002697	0.029196	0.045917	0.010401	0.002809	0.009535	0.375034	0.025784	0.077695	0.009236	0.005164	0.001088	0.009764	0.007685	0.367572
middle	0.003588	0.000848	0.001257	0.008344	0.003708	0.001202	0.002163	0.001184	0.097485	0.017977	0.047395	0.005774	0.005015	0.005324	0.000816	0.005910	0.792009
of	0.005374	0.000910	0.000484	0.004991	0.006360	0.001629	0.000223	0.000646	0.253708	0.069022	0.399216	0.014658	0.037368	0.007329	0.002790	0.005496	0.189797
a	0.008303	0.000792	0.001518	0.007774	0.005587	0.002410	0.000277	0.001778	0.240002	0.014033	0.225860	0.105533	0.037481	0.008924	0.007143	0.028282	0.304300
red	0.011060	0.005041	0.002033	0.004604	0.002529	0.001340	0.000453	0.000990	0.023816	0.010618	0.094437	0.180159	0.247064	0.016687	0.027317	0.003946	0.367904
bridge	0.018769	0.005124	0.005478	0.002675	0.004093	0.004514	0.000791	0.002503	0.007230	0.003106	0.051052	0.081903	0.122246	0.397560	0.014256	0.017753	0.260947
.	0.027107	0.019658	0.003024	0.009337	0.001958	0.000536	0.000855	0.005462	0.001495	0.000711	0.002249	0.004078	0.021470	0.005560	0.032621	0.097750	0.766130
[SEP]	0.012657	0.015490	0.009269	0.024012	0.007719	0.004605	0.004288	0.005096	0.003105	0.004157	0.002299	0.003377	0.005020	0.010385	0.003293	0.004158	0.881070
