TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.314743	0.028059	0.035183	0.030198	0.040208	0.010915	0.049506	0.063254	0.007600	0.017671	0.011879	0.007040	0.017226	0.014479	0.031411	0.063508	0.257120
A	0.031108	0.100409	0.102578	0.091542	0.046685	0.026673	0.057551	0.010308	0.022533	0.023807	0.036835	0.016702	0.144594	0.132393	0.017339	0.037612	0.101330
boy	0.085074	0.049820	0.032998	0.067372	0.094764	0.041419	0.126220	0.050849	0.018603	0.030660	0.014708	0.030649	0.040166	0.019739	0.167773	0.059171	0.070014
is	0.076763	0.098271	0.060388	0.075141	0.071228	0.037547	0.054593	0.027793	0.047977	0.030961	0.027346	0.025014	0.079002	0.048425	0.051366	0.050072	0.138111
jumping	0.098715	0.054446	0.030804	0.049666	0.021134	0.038812	0.143103	0.024574	0.028441	0.016121	0.023183	0.018409	0.035349	0.085102	0.112447	0.058979	0.160714
on	0.051521	0.070126	0.072556	0.099284	0.060139	0.041566	0.039705	0.021477	0.045918	0.018686	0.023392	0.019589	0.056848	0.131937	0.028435	0.039035	0.179787
skate	0.146247	0.020130	0.082601	0.030754	0.066751	0.010805	0.003392	0.007789	0.007253	0.017444	0.014533	0.018942	0.016757	0.010168	0.223659	0.053022	0.269754
##board	0.063066	0.015203	0.063055	0.026245	0.148821	0.025398	0.181612	0.021639	0.006364	0.015194	0.010356	0.017624	0.017679	0.037617	0.151484	0.050802	0.147841
in	0.043123	0.054063	0.031210	0.069538	0.048756	0.070212	0.013380	0.013985	0.032982	0.014409	0.031445	0.021670	0.044368	0.115192	0.043326	0.038154	0.314188
the	0.067073	0.096191	0.052535	0.108591	0.018966	0.034253	0.026084	0.010471	0.033236	0.029746	0.029690	0.031790	0.062202	0.071555	0.035774	0.069175	0.222668
middle	0.072569	0.051220	0.032533	0.064541	0.074352	0.059142	0.043472	0.025371	0.036449	0.019165	0.010291	0.019809	0.042316	0.067553	0.022228	0.049724	0.309264
of	0.050599	0.032531	0.072009	0.050865	0.036991	0.041877	0.052540	0.032403	0.038440	0.024492	0.029236	0.018686	0.048546	0.063418	0.049866	0.046071	0.311430
a	0.062398	0.052509	0.042589	0.049393	0.024521	0.039731	0.047767	0.009563	0.018616	0.017646	0.036686	0.023391	0.076281	0.157999	0.039123	0.037176	0.264614
red	0.077773	0.030704	0.035063	0.027560	0.090152	0.042991	0.040584	0.102343	0.032319	0.033711	0.046159	0.029319	0.076057	0.009930	0.177684	0.055767	0.091884
bridge	0.066840	0.008400	0.047295	0.021164	0.066547	0.025245	0.472692	0.060013	0.006265	0.008980	0.007829	0.011891	0.011855	0.060591	0.003505	0.043882	0.077007
.	0.070004	0.049270	0.055888	0.053630	0.053602	0.018680	0.056882	0.036561	0.029057	0.032133	0.029429	0.021030	0.054349	0.054253	0.046839	0.085017	0.253377
[SEP]	0.035336	0.010045	0.014833	0.010907	0.011561	0.011201	0.010492	0.007650	0.007849	0.009535	0.005586	0.006562	0.009800	0.013621	0.010770	0.028784	0.795468
