TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.021351	0.010452	0.021437	0.005598	0.005354	0.010300	0.006731	0.002646	0.004254	0.003903	0.001737	0.002289	0.007380	0.008579	0.026822	0.021891	0.839277
A	0.005398	0.013799	0.675589	0.049748	0.012662	0.039396	0.004016	0.012693	0.018308	0.006341	0.003155	0.011246	0.003814	0.007993	0.017368	0.018435	0.100039
boy	0.009450	0.026292	0.027964	0.015070	0.026817	0.021073	0.038037	0.031632	0.006622	0.008829	0.003534	0.006953	0.019358	0.017019	0.027648	0.029468	0.684235
is	0.021573	0.047852	0.231361	0.025183	0.120115	0.077789	0.023151	0.136097	0.020119	0.009767	0.004473	0.012347	0.018128	0.003901	0.029605	0.038717	0.179822
jumping	0.031631	0.010542	0.010547	0.005883	0.031232	0.047003	0.051440	0.212618	0.019169	0.016501	0.017727	0.007820	0.028660	0.032082	0.081505	0.081180	0.314462
on	0.037255	0.005920	0.002037	0.003064	0.016049	0.004951	0.241525	0.347043	0.003540	0.004911	0.001757	0.003303	0.023153	0.004696	0.196434	0.041361	0.063001
skate	0.004601	0.002640	0.003896	0.001616	0.003015	0.012016	0.014569	0.016766	0.001176	0.001328	0.008373	0.003554	0.002128	0.001558	0.001555	0.016270	0.904938
##board	0.004732	0.006699	0.002597	0.001519	0.011175	0.006128	0.696246	0.019483	0.000994	0.002382	0.001939	0.002163	0.007119	0.005357	0.017136	0.017749	0.196581
in	0.047358	0.003759	0.002454	0.007664	0.023837	0.005748	0.013081	0.018149	0.006258	0.022931	0.440892	0.037739	0.022485	0.081542	0.024430	0.085215	0.156457
the	0.025358	0.008515	0.011572	0.008803	0.022016	0.009560	0.021933	0.018502	0.009261	0.015465	0.357471	0.054231	0.043349	0.082596	0.132416	0.072121	0.106829
middle	0.041244	0.013673	0.066153	0.014505	0.010937	0.009982	0.030057	0.032211	0.040235	0.024483	0.033032	0.018857	0.047018	0.053197	0.279803	0.056572	0.228041
of	0.030212	0.007012	0.036718	0.010605	0.008028	0.008491	0.034132	0.018872	0.022249	0.024039	0.011053	0.012537	0.038939	0.102091	0.517766	0.065995	0.051263
a	0.009242	0.001947	0.037408	0.007215	0.006304	0.007000	0.029398	0.039620	0.007270	0.009118	0.006106	0.013742	0.009659	0.051123	0.642308	0.033067	0.089473
red	0.007623	0.002457	0.006074	0.002177	0.037152	0.012868	0.010946	0.119741	0.006635	0.004136	0.010209	0.005648	0.031749	0.029326	0.481935	0.025843	0.205482
bridge	0.018956	0.002986	0.003350	0.005242	0.009653	0.018721	0.028503	0.008550	0.014649	0.021539	0.023879	0.015793	0.032051	0.124497	0.120401	0.065368	0.485862
.	0.020446	0.082717	0.079386	0.054903	0.027242	0.040334	0.019703	0.022077	0.038266	0.023047	0.007214	0.012552	0.042444	0.031933	0.098718	0.029220	0.369800
[SEP]	0.003662	0.006576	0.016125	0.006384	0.010752	0.017332	0.027640	0.010143	0.007446	0.004793	0.005029	0.004141	0.007507	0.011684	0.026401	0.005709	0.828677
