TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.175333	0.047475	0.141824	0.163571	0.038004	0.021618	0.041790	0.036765	0.047599	0.055187	0.024019	0.038733	0.025457	0.030286	0.036399	0.056947	0.018992
A	0.176994	0.320462	0.060013	0.079229	0.033071	0.016756	0.011365	0.021034	0.041883	0.028941	0.022009	0.010532	0.048075	0.025654	0.017531	0.066515	0.019932
boy	0.083415	0.780732	0.001915	0.019122	0.007136	0.005185	0.000840	0.002973	0.004248	0.005128	0.007089	0.002029	0.039166	0.002430	0.013465	0.018010	0.007116
is	0.066520	0.248120	0.034437	0.022497	0.137802	0.019080	0.043815	0.073510	0.060688	0.042304	0.068189	0.020290	0.061755	0.011725	0.047674	0.030548	0.011046
jumping	0.112555	0.095386	0.047072	0.010940	0.027986	0.173104	0.018478	0.023862	0.073250	0.026850	0.036441	0.036166	0.160455	0.027331	0.023316	0.013458	0.093351
on	0.262242	0.085688	0.027407	0.054960	0.027917	0.026282	0.010534	0.023472	0.046553	0.038559	0.039249	0.063867	0.060410	0.005428	0.011440	0.054917	0.161075
skate	0.327728	0.014500	0.009739	0.002820	0.007870	0.029893	0.016434	0.018217	0.029054	0.006235	0.042622	0.020329	0.012791	0.013034	0.017600	0.039828	0.391306
##board	0.294710	0.095856	0.004635	0.013716	0.012798	0.053785	0.012266	0.003611	0.042276	0.026127	0.013886	0.052449	0.080124	0.013563	0.021315	0.058609	0.200274
in	0.124541	0.056691	0.010317	0.019568	0.049601	0.060735	0.008641	0.020378	0.128870	0.074212	0.085196	0.078283	0.066434	0.024347	0.065736	0.053629	0.072820
the	0.195964	0.036066	0.035510	0.058752	0.041301	0.030939	0.012263	0.039265	0.055544	0.111008	0.063279	0.060669	0.027165	0.029282	0.044645	0.059592	0.098755
middle	0.093254	0.145669	0.006890	0.004322	0.022480	0.074339	0.009201	0.029397	0.060010	0.045745	0.051653	0.051950	0.220900	0.022985	0.028081	0.020200	0.112925
of	0.157086	0.060678	0.013110	0.032655	0.019181	0.058377	0.008863	0.020672	0.080971	0.069272	0.047071	0.172148	0.067629	0.012011	0.035012	0.061294	0.083970
a	0.122197	0.288795	0.016305	0.035554	0.019326	0.043270	0.010718	0.024041	0.049910	0.029307	0.034379	0.031620	0.121809	0.021496	0.047264	0.057233	0.046775
red	0.383551	0.041706	0.005398	0.023835	0.036655	0.049205	0.002752	0.022138	0.034462	0.025456	0.040008	0.041632	0.057342	0.002588	0.032696	0.046938	0.153638
bridge	0.118184	0.115404	0.006056	0.002408	0.018665	0.028338	0.016993	0.035113	0.056975	0.047463	0.084826	0.009685	0.220986	0.048816	0.016714	0.035369	0.138005
.	0.143237	0.114112	0.043508	0.063723	0.031723	0.020946	0.032490	0.036114	0.072211	0.054774	0.027327	0.049898	0.075432	0.031461	0.039389	0.118161	0.045492
[SEP]	0.181593	0.003317	0.023327	0.002650	0.002556	0.002973	0.005960	0.007717	0.003628	0.006228	0.004726	0.009234	0.005729	0.013789	0.006650	0.020944	0.698980
