TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.023988	0.126721	0.065894	0.088662	0.109699	0.031602	0.048199	0.022910	0.015281	0.015238	0.005899	0.035341	0.073964	0.018205	0.033737	0.118805	0.165853
A	0.093688	0.147990	0.013514	0.044013	0.006108	0.001589	0.001088	0.001832	0.000695	0.002064	0.000345	0.004183	0.015990	0.001676	0.000713	0.041456	0.623057
boy	0.067419	0.082891	0.047560	0.124925	0.010277	0.002170	0.001434	0.004456	0.001007	0.002096	0.000324	0.008187	0.016344	0.001592	0.002938	0.024283	0.602099
is	0.057003	0.060322	0.012437	0.075284	0.030457	0.005578	0.002929	0.003540	0.002090	0.002002	0.000899	0.005467	0.007562	0.001082	0.002105	0.024792	0.706450
jumping	0.043740	0.026553	0.004261	0.030322	0.023891	0.025214	0.006607	0.009482	0.005735	0.003389	0.001506	0.006555	0.011027	0.001181	0.004189	0.035501	0.760847
on	0.046190	0.028904	0.016614	0.018730	0.038985	0.077330	0.005820	0.016550	0.053031	0.044661	0.017113	0.037769	0.063420	0.002006	0.015753	0.027506	0.489618
skate	0.033588	0.004573	0.002192	0.002691	0.006260	0.008482	0.002885	0.004498	0.003999	0.002092	0.000919	0.007834	0.011402	0.006568	0.021194	0.017350	0.863475
##board	0.034390	0.007796	0.013145	0.018277	0.031237	0.025982	0.005268	0.014937	0.009608	0.005459	0.002886	0.015272	0.023288	0.003137	0.041730	0.034911	0.712678
in	0.065191	0.008404	0.004036	0.012091	0.018590	0.060021	0.007201	0.012979	0.031815	0.027413	0.014092	0.029809	0.026519	0.000929	0.019590	0.086124	0.575195
the	0.086914	0.022991	0.003684	0.013736	0.007947	0.014117	0.003919	0.013321	0.027016	0.052940	0.010591	0.028222	0.127210	0.001523	0.018330	0.106962	0.460575
middle	0.015923	0.014599	0.002872	0.014639	0.011862	0.038011	0.009281	0.007291	0.027454	0.047035	0.015316	0.033567	0.019011	0.003058	0.030042	0.054791	0.655248
of	0.040552	0.018657	0.006374	0.017340	0.005307	0.038171	0.011394	0.015249	0.028842	0.046476	0.007327	0.123057	0.086222	0.003477	0.052489	0.044237	0.454830
a	0.070731	0.056866	0.007868	0.017232	0.009876	0.009077	0.005770	0.014723	0.014495	0.048222	0.005768	0.038856	0.225750	0.008221	0.051087	0.061945	0.353511
red	0.026131	0.036226	0.003248	0.008096	0.007147	0.004456	0.007697	0.011031	0.002227	0.005836	0.001088	0.012711	0.064583	0.024571	0.021674	0.033323	0.729955
bridge	0.029383	0.004437	0.001496	0.003598	0.005183	0.008803	0.003012	0.018318	0.007991	0.005459	0.002539	0.024095	0.047040	0.005726	0.122150	0.040466	0.670305
.	0.111472	0.036251	0.006555	0.039888	0.044296	0.009434	0.012496	0.024815	0.010928	0.012665	0.003350	0.015552	0.015747	0.007307	0.009879	0.098068	0.541297
[SEP]	0.019979	0.010598	0.009259	0.005979	0.004543	0.008655	0.005049	0.004139	0.005324	0.002315	0.004102	0.004681	0.004443	0.008558	0.005698	0.006700	0.889978
