TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.826698	0.002113	0.004679	0.000176	0.001559	0.000551	0.002987	0.028784	0.001007	0.000439	0.000653	0.000511	0.000826	0.000651	0.001968	0.013693	0.112703
A	0.070521	0.074451	0.033232	0.073973	0.050857	0.042235	0.025386	0.178833	0.047023	0.071169	0.020034	0.034068	0.055383	0.017260	0.010419	0.024006	0.171150
boy	0.010791	0.049900	0.151029	0.057492	0.078255	0.047900	0.106117	0.050714	0.113927	0.022852	0.059788	0.038418	0.016271	0.008748	0.030145	0.025763	0.131890
is	0.007184	0.023724	0.453669	0.020576	0.061544	0.059270	0.056187	0.050715	0.052267	0.016295	0.011613	0.061721	0.005736	0.020444	0.050510	0.007110	0.041434
jumping	0.070657	0.015557	0.031434	0.058687	0.070151	0.026967	0.121408	0.108615	0.031332	0.011693	0.083195	0.019608	0.014577	0.012954	0.206082	0.043509	0.073575
on	0.024697	0.009089	0.064405	0.046959	0.164522	0.021646	0.134006	0.211762	0.042390	0.008432	0.020254	0.038642	0.006852	0.022146	0.072589	0.011634	0.099973
skate	0.058063	0.026228	0.088727	0.037454	0.062753	0.055108	0.046926	0.126048	0.019235	0.038694	0.031842	0.011750	0.038131	0.010239	0.018061	0.027135	0.303606
##board	0.023322	0.046823	0.010282	0.020514	0.069163	0.062448	0.479160	0.029151	0.034694	0.029380	0.046869	0.021249	0.011431	0.026054	0.051554	0.017814	0.020093
in	0.014118	0.002715	0.033008	0.030149	0.087431	0.091582	0.045240	0.274644	0.028671	0.028365	0.150019	0.058387	0.013633	0.021718	0.060673	0.007269	0.052376
the	0.005873	0.012263	0.053480	0.025608	0.093769	0.032875	0.050080	0.151581	0.073874	0.096724	0.137433	0.038253	0.053245	0.014945	0.070723	0.021688	0.067588
middle	0.002327	0.003508	0.268130	0.011279	0.045211	0.045454	0.059600	0.068899	0.034245	0.030587	0.040179	0.029678	0.020171	0.238695	0.035631	0.011455	0.054951
of	0.008466	0.005592	0.033259	0.015355	0.031620	0.051221	0.023211	0.136922	0.051463	0.072810	0.229872	0.033708	0.047942	0.048317	0.130093	0.022841	0.057308
a	0.016676	0.007842	0.051705	0.019819	0.046606	0.011639	0.064709	0.158169	0.035505	0.087785	0.061946	0.068138	0.054914	0.027949	0.095810	0.048684	0.142105
red	0.019493	0.006961	0.036378	0.020094	0.067839	0.013362	0.241275	0.096620	0.014690	0.011790	0.087330	0.043272	0.027437	0.058319	0.104944	0.045771	0.104426
bridge	0.032908	0.006603	0.014229	0.016211	0.042944	0.016724	0.124288	0.017012	0.018069	0.072437	0.029176	0.023103	0.099322	0.043298	0.128436	0.044834	0.270405
.	0.017920	0.049011	0.014934	0.027753	0.005996	0.022595	0.005047	0.016651	0.033763	0.065511	0.004402	0.054053	0.075008	0.005855	0.017578	0.020531	0.563392
[SEP]	0.070694	0.016433	0.013891	0.010185	0.004735	0.003001	0.012813	0.015716	0.006032	0.005413	0.006364	0.009588	0.027558	0.002804	0.020476	0.200095	0.574204
