TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.027204	0.013705	0.003354	0.126802	0.009114	0.001462	0.002406	0.001703	0.007923	0.008238	0.000847	0.012695	0.020113	0.007516	0.002791	0.321392	0.432734
A	0.009194	0.150474	0.003349	0.072172	0.008546	0.010956	0.006196	0.003810	0.013784	0.026381	0.001130	0.012531	0.095390	0.012388	0.002481	0.235989	0.335230
boy	0.011748	0.012994	0.177529	0.047163	0.076513	0.006074	0.011860	0.022764	0.010530	0.007891	0.003119	0.002433	0.004270	0.014586	0.020122	0.215898	0.354506
is	0.020378	0.026154	0.008568	0.585300	0.031577	0.004508	0.002069	0.003366	0.015036	0.019270	0.001181	0.008731	0.020077	0.004834	0.003906	0.102246	0.142799
jumping	0.019010	0.017984	0.036758	0.118863	0.483307	0.018717	0.012314	0.015510	0.017539	0.026009	0.005260	0.003100	0.008458	0.015355	0.006654	0.077804	0.117358
on	0.004406	0.018651	0.005800	0.036337	0.032840	0.506335	0.013649	0.018582	0.029404	0.032772	0.002650	0.009669	0.042757	0.029975	0.004250	0.079942	0.131980
skate	0.005415	0.007197	0.020489	0.008106	0.037233	0.020118	0.247357	0.074162	0.008765	0.008164	0.013265	0.003006	0.009327	0.080532	0.039434	0.156613	0.260817
##board	0.002790	0.001774	0.007426	0.006283	0.008675	0.003033	0.002348	0.792837	0.023369	0.007033	0.004118	0.000903	0.003372	0.011433	0.033535	0.036440	0.054630
in	0.006080	0.006681	0.000865	0.025960	0.006823	0.016574	0.000908	0.006849	0.701572	0.060406	0.041611	0.066919	0.027934	0.003522	0.001306	0.012025	0.013966
the	0.008407	0.034491	0.000696	0.053007	0.013767	0.024374	0.001874	0.004899	0.143744	0.484761	0.011529	0.055948	0.114747	0.004305	0.000927	0.019198	0.023325
middle	0.001150	0.000573	0.000980	0.000988	0.002912	0.001005	0.002916	0.015130	0.091098	0.007085	0.809316	0.007877	0.002698	0.005403	0.010523	0.016250	0.024098
of	0.003583	0.005419	0.000429	0.018663	0.002733	0.006309	0.001367	0.002141	0.089226	0.061693	0.012257	0.580420	0.116273	0.010690	0.001515	0.038003	0.049278
a	0.005228	0.029831	0.000536	0.036349	0.003948	0.014051	0.002755	0.002978	0.046877	0.092666	0.008022	0.169029	0.443451	0.026918	0.003692	0.048253	0.065416
red	0.001422	0.002890	0.006394	0.005861	0.007951	0.004413	0.027778	0.012712	0.007564	0.005777	0.006325	0.006943	0.015303	0.210943	0.023558	0.232300	0.421869
bridge	0.001130	0.000651	0.012442	0.001557	0.002746	0.000433	0.007888	0.045009	0.004235	0.000762	0.014004	0.000723	0.001486	0.026203	0.440276	0.152461	0.287995
.	0.044553	0.073689	0.042450	0.056345	0.045184	0.036552	0.048381	0.053640	0.045215	0.046007	0.026317	0.030660	0.064099	0.031644	0.044522	0.150562	0.160179
[SEP]	0.045772	0.068873	0.048755	0.060556	0.049042	0.042953	0.052556	0.056289	0.046900	0.048344	0.029734	0.036954	0.065364	0.041121	0.055081	0.122351	0.129354
