TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.387123	0.006975	0.010723	0.012118	0.019177	0.004839	0.005961	0.011602	0.008994	0.013492	0.005359	0.020874	0.009974	0.015523	0.021722	0.057582	0.387963
A	0.023876	0.021219	0.128484	0.115494	0.068078	0.023882	0.016990	0.021694	0.034974	0.033421	0.178800	0.032748	0.014278	0.150026	0.087185	0.016568	0.032283
boy	0.127079	0.041993	0.035984	0.065217	0.135145	0.029438	0.030790	0.030774	0.017548	0.007180	0.091325	0.010229	0.012153	0.086567	0.119110	0.046836	0.112633
is	0.028688	0.082540	0.083993	0.021876	0.098988	0.016907	0.020431	0.070710	0.034174	0.032807	0.172536	0.016691	0.018662	0.127349	0.113682	0.017921	0.042047
jumping	0.072943	0.007942	0.018208	0.028096	0.019176	0.005990	0.014578	0.142251	0.015172	0.005702	0.052508	0.009766	0.011442	0.104668	0.408887	0.022871	0.059800
on	0.049892	0.020521	0.024063	0.036316	0.090340	0.003545	0.055066	0.111207	0.012718	0.028563	0.098519	0.014252	0.026018	0.142183	0.156999	0.031048	0.098751
skate	0.339144	0.001438	0.000938	0.006121	0.005122	0.001257	0.002850	0.088823	0.003647	0.002820	0.004997	0.003226	0.002482	0.006946	0.103522	0.088393	0.338276
##board	0.239334	0.012330	0.015156	0.020118	0.030044	0.003465	0.037118	0.003273	0.006016	0.013149	0.008835	0.007863	0.017101	0.034128	0.035948	0.042320	0.473801
in	0.059728	0.020894	0.012879	0.038114	0.029615	0.007605	0.012440	0.028655	0.014108	0.046469	0.249568	0.032946	0.031229	0.164706	0.105576	0.045604	0.099864
the	0.086922	0.043029	0.017533	0.029541	0.023409	0.013365	0.006297	0.018573	0.034599	0.053900	0.116597	0.097261	0.045153	0.073872	0.096899	0.067029	0.176021
middle	0.046384	0.039013	0.013126	0.038735	0.094409	0.008910	0.017610	0.030610	0.017583	0.014744	0.040164	0.038095	0.095398	0.185980	0.243532	0.020138	0.055568
of	0.075410	0.042576	0.009129	0.025699	0.020806	0.018912	0.009968	0.012396	0.031864	0.059454	0.102256	0.047172	0.103860	0.182653	0.088467	0.060039	0.109337
a	0.046682	0.024919	0.024388	0.055485	0.032626	0.016533	0.022774	0.048386	0.039388	0.051568	0.125257	0.050209	0.023352	0.186211	0.137345	0.057606	0.057273
red	0.067570	0.020987	0.019693	0.031739	0.035825	0.017190	0.031630	0.029639	0.025921	0.010894	0.081418	0.018665	0.041830	0.037445	0.416583	0.041028	0.071943
bridge	0.172250	0.023614	0.034879	0.085426	0.077540	0.019646	0.047198	0.010369	0.022474	0.017291	0.036015	0.058791	0.028229	0.059642	0.066443	0.059096	0.181097
.	0.214086	0.041661	0.015603	0.014934	0.010606	0.013525	0.004503	0.003401	0.035332	0.062520	0.012337	0.078008	0.025749	0.015850	0.011378	0.097513	0.342996
[SEP]	0.567903	0.000274	0.000233	0.000773	0.000656	0.000403	0.000614	0.000816	0.001783	0.004228	0.000257	0.006799	0.000656	0.000368	0.001616	0.180499	0.232121
