TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.604251	0.037296	0.010568	0.027406	0.014630	0.017006	0.034795	0.015469	0.017577	0.043484	0.008761	0.021587	0.026912	0.007561	0.014183	0.038310	0.060204
A	0.281380	0.026781	0.657060	0.028040	0.000818	0.000747	0.001283	0.000241	0.000007	0.000417	0.000028	0.000237	0.000043	0.000128	0.000579	0.000580	0.001630
boy	0.571580	0.010027	0.003291	0.368075	0.000451	0.000323	0.000358	0.036426	0.001182	0.000404	0.000448	0.001176	0.000552	0.000024	0.000039	0.004148	0.001495
is	0.701307	0.006397	0.002516	0.035371	0.181070	0.029676	0.001941	0.001117	0.009518	0.001153	0.000007	0.000281	0.000599	0.000016	0.000005	0.000889	0.028136
jumping	0.448606	0.000857	0.000223	0.002455	0.005982	0.520170	0.003962	0.000328	0.005471	0.008418	0.000048	0.000044	0.000120	0.000016	0.000011	0.000087	0.003203
on	0.679446	0.004261	0.002846	0.013222	0.002281	0.002959	0.204053	0.062943	0.014635	0.009134	0.001925	0.001630	0.000020	0.000006	0.000256	0.000221	0.000161
skate	0.013458	0.000006	0.000025	0.000329	0.000012	0.000059	0.000201	0.981773	0.000634	0.002141	0.000022	0.001068	0.000139	0.000003	0.000002	0.000055	0.000073
##board	0.696612	0.000273	0.000027	0.000155	0.000442	0.000529	0.087969	0.012249	0.084216	0.105229	0.000902	0.003166	0.006931	0.000106	0.000012	0.000150	0.001032
in	0.276468	0.000582	0.000148	0.000015	0.000337	0.031792	0.001300	0.005492	0.020373	0.308068	0.330843	0.005148	0.005808	0.012563	0.000043	0.000025	0.000995
the	0.197630	0.000238	0.000733	0.000319	0.000023	0.000601	0.002214	0.009217	0.006657	0.023298	0.716071	0.029017	0.002504	0.004193	0.006847	0.000326	0.000114
middle	0.523322	0.000079	0.000777	0.000028	0.000020	0.000001	0.003990	0.004185	0.024807	0.055346	0.001374	0.299738	0.071123	0.001384	0.003932	0.004065	0.005828
of	0.308265	0.000744	0.000010	0.000072	0.000252	0.000073	0.000021	0.000279	0.009342	0.013947	0.010057	0.014901	0.606595	0.009611	0.000307	0.004785	0.020739
a	0.392790	0.002611	0.000530	0.000029	0.000015	0.000064	0.000280	0.000020	0.000258	0.009182	0.001870	0.006915	0.033076	0.486579	0.031243	0.006657	0.027880
red	0.796378	0.003412	0.003433	0.000064	0.000000	0.000003	0.000096	0.000163	0.000004	0.004036	0.001833	0.002943	0.023356	0.019393	0.054877	0.022989	0.067021
bridge	0.544876	0.000361	0.000028	0.000612	0.000200	0.000005	0.000078	0.000039	0.000060	0.000361	0.000020	0.026286	0.026654	0.001370	0.038322	0.219791	0.140940
.	0.420412	0.000326	0.000035	0.000373	0.000727	0.000053	0.000022	0.000045	0.000072	0.000168	0.000007	0.000476	0.006480	0.001842	0.001086	0.029809	0.538068
[SEP]	0.945642	0.000876	0.000010	0.000066	0.000010	0.000134	0.000042	0.000005	0.000009	0.000188	0.000022	0.000008	0.000673	0.000623	0.000442	0.003109	0.048140
