TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.689600	0.029837	0.022635	0.040358	0.015039	0.054223	0.070353	0.017869	0.015931	0.007839	0.007847	0.003119	0.002300	0.002528	0.007137	0.008811	0.004575
A	0.004889	0.000341	0.994481	0.000074	0.000001	0.000021	0.000184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000000	0.000000
boy	0.004247	0.000039	0.000270	0.995293	0.000057	0.000004	0.000019	0.000059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000011	0.000000
is	0.012694	0.000406	0.000089	0.002003	0.982968	0.001400	0.000042	0.000026	0.000202	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000168
jumping	0.053901	0.006333	0.000595	0.000077	0.001263	0.935478	0.002116	0.000026	0.000065	0.000143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004
on	0.002414	0.000033	0.000502	0.000021	0.000021	0.001095	0.994726	0.001110	0.000003	0.000028	0.000046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
skate	0.003640	0.000000	0.000042	0.000979	0.000017	0.000029	0.000976	0.994129	0.000085	0.000029	0.000013	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000
##board	0.205465	0.000001	0.000000	0.000053	0.000192	0.000068	0.000598	0.005148	0.787136	0.000686	0.000014	0.000313	0.000322	0.000000	0.000000	0.000001	0.000003
in	0.004732	0.000001	0.000000	0.000000	0.000003	0.002809	0.001630	0.000252	0.004006	0.985656	0.000453	0.000002	0.000083	0.000370	0.000000	0.000000	0.000001
the	0.001527	0.000000	0.000003	0.000000	0.000000	0.000006	0.007041	0.000085	0.000056	0.000934	0.990137	0.000027	0.000003	0.000044	0.000138	0.000000	0.000000
middle	0.016170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000061	0.001728	0.000087	0.000027	0.000655	0.980960	0.000127	0.000041	0.000080	0.000061	0.000002
of	0.003397	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000006	0.000293	0.000141	0.000041	0.000280	0.995444	0.000169	0.000026	0.000005	0.000196
a	0.000945	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000014	0.000101	0.000002	0.000199	0.998628	0.000088	0.000001	0.000019
red	0.019320	0.000001	0.000051	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000004	0.000271	0.000033	0.000019	0.000602	0.979557	0.000102	0.000033
bridge	0.010424	0.000000	0.000000	0.000028	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000003	0.005776	0.000313	0.000082	0.000678	0.981629	0.001067
.	0.014097	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000171	0.000054	0.000018	0.000546	0.985103
[SEP]	0.999970	0.000001	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000001	0.000024
