TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.060715	0.058523	0.059359	0.013355	0.005711	0.006441	0.020173	0.004240	0.004046	0.003295	0.006266	0.003632	0.014062	0.002991	0.008422	0.099097	0.629673
A	0.021819	0.018156	0.552850	0.030795	0.010885	0.002749	0.020074	0.004257	0.002098	0.001218	0.000721	0.000360	0.001998	0.000743	0.003176	0.086273	0.241830
boy	0.018747	0.064088	0.091645	0.221840	0.090960	0.027099	0.013429	0.003209	0.018377	0.022882	0.002746	0.001746	0.008512	0.000671	0.000510	0.125205	0.288334
is	0.005207	0.022135	0.560216	0.006251	0.005022	0.002970	0.011831	0.001895	0.001606	0.001101	0.001203	0.000365	0.002636	0.000237	0.001560	0.035642	0.340123
jumping	0.009777	0.032651	0.579189	0.010664	0.005051	0.005369	0.008064	0.002572	0.002741	0.001647	0.000710	0.000553	0.003477	0.000763	0.002210	0.046329	0.288232
on	0.010197	0.025236	0.609193	0.017418	0.010123	0.014335	0.005164	0.002919	0.003530	0.002802	0.000547	0.000805	0.004506	0.000331	0.003099	0.029890	0.259906
skate	0.004941	0.010617	0.071137	0.006975	0.007231	0.027000	0.003040	0.006322	0.007834	0.006709	0.002608	0.005386	0.007225	0.001285	0.002997	0.040562	0.788131
##board	0.003304	0.013169	0.046912	0.003176	0.003871	0.014704	0.007853	0.007095	0.003909	0.002721	0.001914	0.001496	0.004851	0.001231	0.000348	0.022037	0.861408
in	0.005602	0.025268	0.152857	0.007811	0.007779	0.011641	0.036256	0.009878	0.019676	0.006476	0.010067	0.003120	0.022489	0.005148	0.010770	0.040376	0.624787
the	0.003315	0.010800	0.685369	0.003206	0.002743	0.002692	0.010031	0.003401	0.002559	0.001467	0.001085	0.000640	0.004618	0.000858	0.002742	0.017967	0.246507
middle	0.002678	0.007121	0.012753	0.002127	0.002547	0.004144	0.008129	0.005189	0.017638	0.005906	0.030371	0.008019	0.030687	0.011104	0.014573	0.035549	0.801466
of	0.005381	0.006271	0.051946	0.002424	0.002166	0.001973	0.023117	0.007451	0.016143	0.004119	0.023539	0.015343	0.083119	0.107367	0.065207	0.043142	0.541293
a	0.007846	0.004096	0.095239	0.002926	0.001888	0.002780	0.017457	0.009064	0.008579	0.003695	0.015115	0.021533	0.041663	0.028328	0.064817	0.049378	0.625597
red	0.000955	0.001051	0.002955	0.000522	0.001164	0.001631	0.004149	0.006106	0.017716	0.006335	0.062150	0.052935	0.077162	0.031010	0.212012	0.014549	0.507597
bridge	0.001149	0.001408	0.000617	0.000460	0.000316	0.002010	0.003426	0.001892	0.014651	0.005236	0.022001	0.065262	0.070234	0.158832	0.011318	0.021835	0.619350
.	0.010351	0.013419	0.018015	0.004698	0.001998	0.004166	0.005899	0.001941	0.002599	0.001890	0.001979	0.002083	0.006882	0.001350	0.002031	0.065207	0.855492
[SEP]	0.035579	0.027234	0.011278	0.017905	0.012339	0.011398	0.012233	0.008370	0.010658	0.015486	0.007180	0.007070	0.016501	0.005595	0.003932	0.130769	0.666473
