TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.374800	0.056457	0.054752	0.041830	0.017204	0.007934	0.024535	0.018554	0.007012	0.012211	0.013912	0.012406	0.047336	0.063157	0.021992	0.034224	0.191684
A	0.001349	0.018438	0.041050	0.055137	0.038833	0.068282	0.018986	0.028468	0.098767	0.126658	0.012721	0.075565	0.080523	0.068012	0.032853	0.162815	0.071542
boy	0.003289	0.050694	0.004775	0.053663	0.026736	0.041409	0.031495	0.021389	0.021952	0.035258	0.003872	0.037974	0.085679	0.036447	0.075519	0.134473	0.335375
is	0.003274	0.070753	0.034411	0.056244	0.044758	0.098082	0.037041	0.032199	0.061901	0.036463	0.022533	0.040314	0.077950	0.080454	0.056082	0.143975	0.103568
jumping	0.002094	0.060681	0.018814	0.089307	0.003953	0.033626	0.012356	0.005154	0.035042	0.027126	0.007104	0.029734	0.037398	0.093404	0.030466	0.201177	0.312563
on	0.002282	0.053018	0.042339	0.082673	0.037444	0.034550	0.012821	0.015822	0.057673	0.030669	0.038184	0.055322	0.046595	0.067512	0.057792	0.110962	0.254341
skate	0.006057	0.039707	0.012021	0.076734	0.029839	0.011814	0.001076	0.001232	0.047081	0.038244	0.019766	0.043123	0.022190	0.029144	0.031002	0.130886	0.460084
##board	0.009809	0.041183	0.009243	0.071797	0.021090	0.023637	0.003265	0.001515	0.038978	0.028358	0.012314	0.031677	0.013441	0.018692	0.030395	0.113355	0.531250
in	0.001585	0.079433	0.028972	0.090441	0.029736	0.062523	0.046441	0.032087	0.026823	0.015380	0.028157	0.041402	0.040765	0.032929	0.044358	0.133792	0.265176
the	0.002265	0.183816	0.050245	0.102729	0.056192	0.051455	0.043672	0.032104	0.027002	0.019832	0.025562	0.042877	0.114534	0.055643	0.023331	0.078757	0.089984
middle	0.001110	0.025061	0.002443	0.057087	0.017814	0.032674	0.007963	0.004949	0.024305	0.015416	0.001457	0.018440	0.029926	0.008575	0.014885	0.049121	0.688774
of	0.001326	0.036031	0.021043	0.079150	0.052949	0.065479	0.031689	0.025757	0.044435	0.020915	0.011583	0.020784	0.023690	0.025300	0.024537	0.121260	0.394072
a	0.003724	0.061265	0.068931	0.083693	0.076473	0.046247	0.033234	0.030323	0.045441	0.059659	0.028443	0.032717	0.023775	0.031887	0.046261	0.123922	0.204004
red	0.002123	0.048152	0.012801	0.042059	0.074551	0.050191	0.018876	0.015678	0.036845	0.031755	0.026204	0.049093	0.038424	0.003996	0.068764	0.087808	0.392681
bridge	0.001930	0.047721	0.042218	0.065642	0.015881	0.022767	0.008418	0.010110	0.013641	0.018147	0.013620	0.025214	0.040498	0.034106	0.006463	0.151044	0.482582
.	0.003237	0.078185	0.032917	0.057078	0.056774	0.038931	0.050316	0.041625	0.027202	0.014862	0.015630	0.029247	0.042275	0.065249	0.078434	0.077816	0.290222
[SEP]	0.000629	0.000506	0.000392	0.002420	0.000613	0.001129	0.001310	0.000424	0.000468	0.000291	0.000426	0.000672	0.000373	0.000679	0.000422	0.001931	0.987315
