TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.168347	0.012473	0.042647	0.154161	0.044942	0.008596	0.024612	0.007239	0.005203	0.006171	0.017209	0.008266	0.008390	0.052640	0.020628	0.007446	0.411030
A	0.054972	0.035286	0.168214	0.110859	0.067260	0.036977	0.019813	0.009598	0.043873	0.034231	0.081312	0.043245	0.024807	0.133130	0.029237	0.013353	0.093834
boy	0.076223	0.044736	0.135699	0.050544	0.060750	0.014632	0.079298	0.021627	0.016200	0.021089	0.074971	0.035697	0.020393	0.073674	0.081694	0.019069	0.173705
is	0.083193	0.037102	0.122771	0.130557	0.075773	0.045849	0.029776	0.024729	0.023561	0.023475	0.048775	0.017776	0.012559	0.133205	0.051667	0.010864	0.128368
jumping	0.060533	0.024516	0.062617	0.010511	0.025901	0.013826	0.044304	0.019506	0.008381	0.013947	0.006554	0.016545	0.024097	0.024871	0.129613	0.045504	0.468774
on	0.100870	0.028808	0.020408	0.028621	0.029342	0.015382	0.050986	0.025728	0.031215	0.040430	0.014132	0.044535	0.025728	0.019018	0.059056	0.084343	0.381399
skate	0.019011	0.016427	0.027184	0.003386	0.009260	0.010835	0.221154	0.148964	0.003738	0.009945	0.003491	0.008167	0.014998	0.022663	0.069365	0.044441	0.366972
##board	0.030895	0.011307	0.020496	0.003860	0.002422	0.004722	0.020006	0.005793	0.003085	0.005763	0.000806	0.007047	0.008566	0.009802	0.032473	0.034112	0.798846
in	0.109958	0.031800	0.023295	0.091757	0.022833	0.034139	0.009770	0.005571	0.021465	0.014036	0.038129	0.028112	0.015286	0.040772	0.040425	0.045194	0.427457
the	0.209196	0.021070	0.046110	0.145852	0.020318	0.021151	0.015218	0.007508	0.022987	0.008009	0.033617	0.027623	0.014241	0.047742	0.029832	0.033871	0.295655
middle	0.092402	0.015523	0.018068	0.015479	0.021360	0.011843	0.007710	0.004401	0.013577	0.004964	0.011017	0.014076	0.010879	0.040518	0.073708	0.012247	0.632226
of	0.169248	0.039930	0.022863	0.067329	0.031934	0.022634	0.024165	0.008842	0.030517	0.022417	0.046136	0.020967	0.020241	0.030637	0.033929	0.044661	0.363551
a	0.125011	0.028394	0.071302	0.125111	0.045451	0.021831	0.017300	0.006709	0.027171	0.018054	0.046342	0.040196	0.021464	0.056810	0.014798	0.034302	0.299754
red	0.127814	0.024511	0.021420	0.055830	0.040811	0.014346	0.012403	0.011115	0.007278	0.010463	0.026457	0.029361	0.009657	0.012577	0.045365	0.041405	0.509188
bridge	0.107000	0.024629	0.010383	0.012240	0.013540	0.007569	0.066981	0.015287	0.008900	0.019642	0.001800	0.018515	0.020797	0.014006	0.124130	0.070975	0.463606
.	0.146646	0.043859	0.049452	0.158174	0.036544	0.030552	0.016781	0.009285	0.042632	0.029017	0.033830	0.029375	0.020500	0.020163	0.029560	0.024453	0.279176
[SEP]	0.005740	0.002419	0.000378	0.000567	0.001278	0.001508	0.002749	0.001366	0.002329	0.005652	0.000324	0.005321	0.003355	0.000428	0.002016	0.039115	0.925457
