TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.048371	0.081443	0.091211	0.058874	0.061559	0.083054	0.045993	0.069086	0.102891	0.075569	0.051817	0.060334	0.037754	0.096019	0.036023
A	0.041517	0.054397	0.064938	0.044015	0.081293	0.099156	0.064110	0.053497	0.074545	0.073674	0.063912	0.069415	0.051335	0.097734	0.066462
person	0.050694	0.058423	0.099912	0.055090	0.053675	0.072727	0.049858	0.059286	0.067577	0.080122	0.061056	0.056780	0.065811	0.076723	0.092264
is	0.063000	0.064515	0.063840	0.048852	0.058937	0.054406	0.071043	0.053039	0.093371	0.069307	0.086516	0.055342	0.064742	0.083034	0.070056
at	0.077671	0.087058	0.064460	0.055563	0.064912	0.075897	0.039919	0.077276	0.081629	0.051634	0.079718	0.064820	0.062450	0.072975	0.044020
a	0.060973	0.064439	0.063490	0.032282	0.046412	0.096484	0.043152	0.080819	0.076626	0.082574	0.080630	0.073239	0.054478	0.099462	0.044941
diner	0.060549	0.049628	0.094304	0.042764	0.058049	0.069285	0.053249	0.064980	0.068647	0.101573	0.067209	0.065102	0.044724	0.082875	0.077061
,	0.062921	0.064599	0.073764	0.065337	0.076517	0.053092	0.067146	0.064328	0.098945	0.070935	0.076775	0.047131	0.053047	0.057790	0.067674
ordering	0.051895	0.042371	0.065370	0.041013	0.069156	0.063844	0.061883	0.054328	0.130131	0.088366	0.097842	0.042981	0.050377	0.077913	0.062531
an	0.042227	0.055631	0.067687	0.038824	0.088630	0.103219	0.039717	0.055458	0.087897	0.087956	0.072130	0.061698	0.036437	0.081758	0.080731
o	0.046371	0.072790	0.081182	0.040446	0.085161	0.075397	0.074131	0.049496	0.066828	0.085442	0.063861	0.080543	0.042798	0.075258	0.060296
##mel	0.062293	0.064818	0.102686	0.073414	0.056776	0.069863	0.030100	0.065025	0.062033	0.086842	0.073603	0.048340	0.063990	0.070032	0.070185
##ette	0.070561	0.074030	0.080969	0.046321	0.072672	0.080211	0.048480	0.058551	0.081528	0.073751	0.062339	0.079629	0.050067	0.070830	0.050060
.	0.043760	0.065989	0.096190	0.074102	0.068509	0.070315	0.049069	0.047039	0.071540	0.071277	0.050383	0.069739	0.058611	0.076076	0.087400
[SEP]	0.061641	0.083349	0.054492	0.079284	0.058279	0.065003	0.068147	0.071945	0.079056	0.059369	0.053083	0.065831	0.065419	0.083086	0.052015
