TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.076034	0.062569	0.068707	0.075334	0.053211	0.047754	0.056708	0.069788	0.058335	0.046426	0.083017	0.077575	0.102358	0.060016	0.062168
A	0.063621	0.072085	0.071305	0.073443	0.066804	0.051245	0.037715	0.089528	0.072309	0.093622	0.071074	0.061208	0.059549	0.059736	0.056755
person	0.061200	0.090858	0.077572	0.089858	0.060776	0.083373	0.046225	0.083636	0.068328	0.068193	0.051657	0.050654	0.060993	0.064655	0.042022
is	0.045792	0.106279	0.077549	0.052557	0.059059	0.090555	0.038500	0.098235	0.082996	0.069468	0.079593	0.062171	0.060930	0.041176	0.035141
at	0.068736	0.066338	0.060649	0.057239	0.051793	0.060973	0.054124	0.072034	0.136817	0.076990	0.062212	0.058161	0.076261	0.052060	0.045613
a	0.092748	0.093647	0.057591	0.080419	0.042471	0.074109	0.048270	0.085546	0.055693	0.059279	0.068269	0.068002	0.058443	0.058594	0.056919
diner	0.054693	0.081458	0.099390	0.061568	0.055950	0.061706	0.037955	0.078335	0.098895	0.076663	0.091852	0.043876	0.075297	0.035368	0.046994
,	0.046814	0.082904	0.056345	0.065867	0.074650	0.074671	0.058222	0.059141	0.118172	0.084406	0.068793	0.065946	0.052131	0.052172	0.039766
ordering	0.056603	0.068339	0.066964	0.062836	0.049739	0.070015	0.083154	0.090608	0.130982	0.047648	0.048253	0.067674	0.067633	0.043059	0.046493
an	0.047509	0.092287	0.095062	0.075134	0.073630	0.051212	0.057316	0.067935	0.076287	0.076007	0.077865	0.061667	0.070701	0.041500	0.035890
o	0.062657	0.082667	0.072438	0.072252	0.050175	0.051105	0.046324	0.097095	0.059171	0.068999	0.083632	0.050801	0.095833	0.063023	0.043829
##mel	0.068719	0.079241	0.070476	0.068067	0.036002	0.076153	0.042312	0.077632	0.083824	0.067922	0.062099	0.060828	0.085384	0.064536	0.056807
##ette	0.067728	0.091444	0.060935	0.056897	0.071713	0.049609	0.044622	0.083255	0.080631	0.091537	0.070578	0.061670	0.063723	0.054786	0.050872
.	0.057518	0.094589	0.070988	0.080732	0.045460	0.058075	0.049845	0.071197	0.069788	0.072711	0.084870	0.065566	0.083584	0.052182	0.042895
[SEP]	0.044036	0.089320	0.118044	0.065131	0.047223	0.059296	0.067842	0.070458	0.064576	0.070607	0.080099	0.061562	0.078017	0.044179	0.039611
