TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.072597	0.058221	0.049026	0.057879	0.076288	0.069703	0.084372	0.064297	0.060855	0.058513	0.048115	0.056958	0.099909	0.067028	0.076240
A	0.067261	0.066288	0.062972	0.055372	0.056768	0.066710	0.077083	0.069986	0.065526	0.064145	0.079328	0.073459	0.070076	0.057380	0.067648
person	0.091617	0.063514	0.095634	0.045610	0.082051	0.057419	0.071489	0.068746	0.055184	0.071572	0.065280	0.050820	0.066095	0.065325	0.049643
is	0.053203	0.068749	0.062112	0.047264	0.050579	0.084209	0.073837	0.066914	0.075583	0.079872	0.060892	0.055842	0.069210	0.070857	0.080876
at	0.060890	0.074784	0.084634	0.064325	0.067825	0.073559	0.060795	0.068871	0.056328	0.080683	0.056926	0.059745	0.054742	0.068328	0.067565
a	0.052956	0.067838	0.061047	0.065910	0.054694	0.070083	0.079873	0.069474	0.068064	0.047692	0.056155	0.081269	0.080710	0.069083	0.075151
diner	0.052184	0.056233	0.065940	0.060754	0.063716	0.084774	0.091098	0.061135	0.073262	0.067612	0.072250	0.049811	0.058728	0.080085	0.062418
,	0.047899	0.052866	0.099647	0.080853	0.046563	0.063380	0.046909	0.069852	0.071715	0.088864	0.055313	0.088467	0.065038	0.055125	0.067508
ordering	0.064517	0.051096	0.063429	0.062534	0.083893	0.075537	0.078647	0.072608	0.057608	0.069163	0.057529	0.068397	0.043607	0.067766	0.083668
an	0.073842	0.055265	0.079106	0.056049	0.075493	0.050323	0.056472	0.083852	0.043933	0.076607	0.057978	0.068252	0.085034	0.071937	0.065857
o	0.058076	0.079773	0.086328	0.069699	0.063687	0.051780	0.067953	0.071627	0.055719	0.074983	0.061903	0.065725	0.068573	0.056694	0.067481
##mel	0.053749	0.092931	0.072274	0.056282	0.048945	0.052893	0.072249	0.087354	0.065959	0.096147	0.057678	0.050766	0.049331	0.069182	0.074260
##ette	0.059604	0.052736	0.079980	0.054398	0.063128	0.051440	0.077243	0.086228	0.058079	0.063547	0.069814	0.066922	0.095810	0.057023	0.064047
.	0.055944	0.089073	0.043142	0.068830	0.083729	0.058363	0.065101	0.092466	0.051560	0.064808	0.047183	0.061015	0.079968	0.063149	0.075669
[SEP]	0.071211	0.047226	0.058237	0.077073	0.074068	0.049060	0.067734	0.087902	0.053617	0.070952	0.048884	0.058222	0.074062	0.082058	0.079693
