TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.065485	0.063413	0.046683	0.061130	0.056885	0.072936	0.058784	0.082882	0.069122	0.076493	0.061900	0.071645	0.064916	0.061542	0.086185
A	0.076171	0.075363	0.052036	0.065192	0.056011	0.093975	0.075428	0.072876	0.048769	0.078146	0.054285	0.073024	0.054960	0.061885	0.061878
person	0.061444	0.093761	0.089623	0.055688	0.047143	0.102435	0.042529	0.067885	0.063001	0.078958	0.048461	0.062748	0.062815	0.055828	0.067681
is	0.076346	0.092763	0.066987	0.057917	0.057994	0.087266	0.062832	0.080429	0.069492	0.063745	0.057620	0.061407	0.062592	0.043238	0.059371
at	0.069402	0.074428	0.063697	0.081162	0.049517	0.066296	0.070173	0.066722	0.069185	0.071001	0.079679	0.066513	0.053836	0.045374	0.073014
a	0.071175	0.072712	0.063495	0.054771	0.046744	0.077782	0.078395	0.069598	0.062477	0.082341	0.060772	0.083406	0.048986	0.056860	0.070488
diner	0.057843	0.079447	0.069331	0.062935	0.046007	0.054961	0.060554	0.083384	0.064234	0.099442	0.057759	0.076051	0.055996	0.044514	0.087541
,	0.072849	0.070019	0.094665	0.059985	0.046914	0.078156	0.054441	0.085935	0.059303	0.096428	0.065931	0.061980	0.048433	0.046234	0.058727
ordering	0.062298	0.054235	0.059108	0.068170	0.063638	0.067534	0.063149	0.082462	0.060125	0.065554	0.081618	0.081208	0.058955	0.058053	0.073894
an	0.072687	0.071499	0.069906	0.075785	0.057677	0.068479	0.050639	0.059616	0.055467	0.095226	0.061170	0.080572	0.055683	0.055295	0.070300
o	0.079071	0.076097	0.081329	0.062499	0.051518	0.078927	0.060559	0.073934	0.056646	0.075819	0.056140	0.080196	0.062964	0.049112	0.055190
##mel	0.057425	0.072645	0.064274	0.080413	0.044767	0.073330	0.056736	0.077527	0.064096	0.079764	0.054752	0.054516	0.055886	0.063623	0.100246
##ette	0.061861	0.093896	0.065856	0.062304	0.039977	0.066229	0.053788	0.092484	0.058448	0.081416	0.066028	0.066161	0.058903	0.055844	0.076805
.	0.068955	0.069303	0.064783	0.067619	0.047595	0.069912	0.060496	0.090208	0.060369	0.083701	0.072338	0.055940	0.058837	0.050669	0.079274
[SEP]	0.070104	0.079787	0.071567	0.070579	0.037190	0.079742	0.053642	0.092053	0.053703	0.066829	0.062243	0.057424	0.065396	0.037028	0.102714
