TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.065428	0.060675	0.067300	0.078858	0.074735	0.097206	0.051522	0.078187	0.063687	0.039922	0.053670	0.074358	0.055283	0.055278	0.083890
A	0.059055	0.049958	0.065573	0.053897	0.061127	0.081288	0.061975	0.077977	0.057117	0.053803	0.080411	0.085970	0.067544	0.077631	0.066676
person	0.063949	0.042513	0.069514	0.058516	0.062654	0.121347	0.041123	0.075964	0.060615	0.044869	0.059091	0.088910	0.084829	0.056882	0.069224
is	0.064193	0.042409	0.063358	0.071022	0.077322	0.071693	0.051511	0.057199	0.069137	0.049720	0.076786	0.069816	0.087845	0.053775	0.094213
at	0.071881	0.079075	0.061326	0.071229	0.062153	0.076045	0.051507	0.061644	0.090223	0.053237	0.060781	0.078299	0.060835	0.060689	0.061076
a	0.053314	0.055398	0.067947	0.071955	0.068343	0.075264	0.058060	0.100707	0.052708	0.050731	0.066395	0.070906	0.072082	0.052416	0.083775
diner	0.071257	0.058842	0.080790	0.073188	0.049580	0.079937	0.054397	0.063247	0.065912	0.061794	0.056094	0.081801	0.071457	0.061218	0.070487
,	0.047399	0.060621	0.073529	0.070726	0.057695	0.079047	0.044003	0.072128	0.076271	0.053584	0.057234	0.068096	0.096531	0.054269	0.088868
ordering	0.083689	0.045990	0.078414	0.066245	0.058901	0.088408	0.074311	0.063475	0.070397	0.046733	0.079293	0.079900	0.051702	0.049824	0.062718
an	0.055185	0.046256	0.063887	0.080590	0.068239	0.079981	0.053247	0.086293	0.051517	0.035523	0.079571	0.088690	0.081144	0.061090	0.068786
o	0.055670	0.053384	0.069704	0.087804	0.064152	0.072978	0.059033	0.095742	0.082489	0.038741	0.060344	0.067715	0.076184	0.050492	0.065569
##mel	0.076267	0.051943	0.044610	0.070426	0.058275	0.068653	0.051325	0.076906	0.058286	0.052065	0.081900	0.064319	0.089556	0.070466	0.085002
##ette	0.058538	0.066702	0.056182	0.070659	0.067003	0.083081	0.082554	0.073669	0.066142	0.046296	0.063032	0.061392	0.059956	0.068009	0.076786
.	0.060346	0.071339	0.065952	0.078459	0.063099	0.070289	0.049282	0.068591	0.058055	0.039358	0.071795	0.077453	0.075433	0.041870	0.108679
[SEP]	0.065619	0.047418	0.061608	0.091173	0.057677	0.096933	0.057382	0.096254	0.065488	0.038130	0.059172	0.073020	0.073080	0.060014	0.057032
