TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.099235	0.071350	0.073066	0.072705	0.090648	0.050119	0.055029	0.078623	0.057085	0.047731	0.067806	0.077791	0.082061	0.045229	0.031522
A	0.081498	0.063534	0.067879	0.050787	0.077571	0.055722	0.050817	0.066860	0.096522	0.056723	0.071120	0.048111	0.068228	0.084202	0.060426
person	0.063952	0.063781	0.065674	0.070769	0.040105	0.063656	0.096651	0.103658	0.053424	0.061637	0.047555	0.089384	0.074242	0.067728	0.037784
is	0.058383	0.070576	0.063767	0.051140	0.061327	0.064898	0.059408	0.062133	0.055468	0.056602	0.081699	0.082570	0.082162	0.104016	0.045852
at	0.080822	0.076852	0.064659	0.067625	0.054721	0.065785	0.053970	0.102253	0.058930	0.066269	0.070040	0.086913	0.054685	0.061088	0.035390
a	0.071884	0.056245	0.049251	0.057817	0.089102	0.064178	0.061203	0.071516	0.076361	0.064254	0.081158	0.047509	0.065863	0.091596	0.052063
diner	0.050899	0.066967	0.057038	0.070274	0.058983	0.061005	0.064979	0.066482	0.046975	0.075954	0.078764	0.078125	0.094434	0.078439	0.050681
,	0.069713	0.062065	0.066269	0.048761	0.095997	0.049539	0.042274	0.077526	0.066622	0.052368	0.081845	0.048400	0.076849	0.112463	0.049311
ordering	0.087396	0.059667	0.063347	0.049584	0.059802	0.052473	0.081884	0.076629	0.068691	0.040049	0.050707	0.080892	0.097118	0.087854	0.043907
an	0.090727	0.084772	0.077567	0.040774	0.080045	0.057285	0.067200	0.075415	0.065486	0.065676	0.069308	0.050822	0.076242	0.065506	0.033174
o	0.068788	0.083529	0.099500	0.039274	0.073442	0.062739	0.054413	0.105487	0.070175	0.055269	0.063265	0.049836	0.051686	0.079588	0.043011
##mel	0.083301	0.084995	0.088433	0.057822	0.060121	0.051629	0.053941	0.069057	0.076066	0.069577	0.058344	0.054537	0.052578	0.100390	0.039207
##ette	0.062536	0.062431	0.082762	0.051463	0.080162	0.044990	0.069437	0.079219	0.070282	0.053576	0.095377	0.061716	0.055907	0.087693	0.042448
.	0.075618	0.079710	0.077739	0.052060	0.064552	0.066313	0.053725	0.083210	0.043149	0.048528	0.083481	0.078310	0.090948	0.059273	0.043383
[SEP]	0.076895	0.062723	0.071296	0.048691	0.049708	0.052132	0.052270	0.080290	0.064432	0.058425	0.065410	0.072162	0.063701	0.115822	0.066043
