TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.068881	0.044999	0.068231	0.050343	0.054501	0.065895	0.060175	0.083387	0.099683	0.067712	0.061896	0.078543	0.064001	0.066763	0.064989
A	0.070850	0.068806	0.061474	0.050269	0.061196	0.075667	0.071955	0.064753	0.093590	0.067727	0.056950	0.087697	0.062045	0.063492	0.043530
person	0.065235	0.037284	0.060740	0.059578	0.065324	0.065959	0.066509	0.060178	0.081636	0.070128	0.054066	0.091632	0.071345	0.076192	0.074195
is	0.065097	0.063651	0.053411	0.061030	0.072600	0.084242	0.062063	0.073560	0.095138	0.062881	0.056983	0.084822	0.058108	0.058464	0.047951
at	0.086035	0.069198	0.089747	0.072084	0.065626	0.047549	0.054094	0.054725	0.074498	0.074844	0.056869	0.078141	0.070465	0.059535	0.046589
a	0.058738	0.069371	0.081760	0.066343	0.075893	0.072980	0.065811	0.054458	0.081553	0.058652	0.059895	0.090054	0.058489	0.052743	0.053259
diner	0.076739	0.044788	0.065485	0.064007	0.057822	0.064218	0.062245	0.066223	0.098494	0.071358	0.055393	0.083220	0.064989	0.059015	0.066005
,	0.084702	0.053811	0.067143	0.044290	0.068353	0.074569	0.052213	0.071357	0.088495	0.077571	0.053053	0.081412	0.062963	0.068257	0.051812
ordering	0.077749	0.056659	0.074964	0.062594	0.058517	0.054617	0.056269	0.068849	0.093567	0.075321	0.054739	0.085212	0.066621	0.064394	0.049928
an	0.070857	0.058394	0.065257	0.062201	0.057116	0.063017	0.072659	0.062421	0.098728	0.068330	0.050032	0.089444	0.060729	0.074108	0.046708
o	0.079072	0.068541	0.067053	0.064205	0.066592	0.067995	0.060519	0.066289	0.081835	0.055731	0.053230	0.076116	0.069239	0.060645	0.062939
##mel	0.080675	0.052823	0.068159	0.073229	0.059033	0.070834	0.064129	0.063045	0.077621	0.063226	0.056169	0.085505	0.065797	0.063565	0.056190
##ette	0.063841	0.056752	0.081732	0.064770	0.064507	0.056759	0.062435	0.068954	0.092684	0.066892	0.050375	0.094037	0.057906	0.056502	0.061855
.	0.070852	0.062691	0.055727	0.051152	0.071139	0.069060	0.063742	0.064038	0.095669	0.068839	0.051367	0.089361	0.063244	0.063662	0.059457
[SEP]	0.076928	0.058604	0.059851	0.048111	0.054281	0.091856	0.060962	0.079367	0.099210	0.061987	0.054839	0.078971	0.059229	0.062765	0.053039
