TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.062296	0.056778	0.058936	0.066739	0.048690	0.067627	0.060280	0.077140	0.069309	0.075372	0.089044	0.074352	0.081462	0.063862	0.048114
A	0.065020	0.056871	0.061151	0.082133	0.063851	0.062819	0.050503	0.063664	0.070869	0.084617	0.073318	0.052795	0.073667	0.081237	0.057484
person	0.061456	0.068100	0.056959	0.062717	0.051800	0.071404	0.051038	0.076869	0.062652	0.077114	0.092845	0.055013	0.078921	0.076359	0.056753
is	0.070658	0.049240	0.060688	0.057551	0.064720	0.065395	0.083006	0.064228	0.051282	0.075990	0.085110	0.066302	0.091918	0.072971	0.040942
at	0.080902	0.058191	0.083930	0.073433	0.043423	0.065906	0.071585	0.059391	0.044536	0.046666	0.076564	0.081501	0.094073	0.070762	0.049138
a	0.060757	0.054484	0.067322	0.080312	0.044609	0.072462	0.046591	0.094355	0.064686	0.066155	0.074826	0.072979	0.087693	0.052679	0.060091
diner	0.069007	0.042385	0.073939	0.057427	0.058743	0.049455	0.072007	0.071355	0.060023	0.070618	0.088018	0.072575	0.077254	0.085893	0.051300
,	0.090302	0.041039	0.072326	0.058911	0.047625	0.079213	0.068726	0.099641	0.047757	0.067572	0.058610	0.060436	0.078790	0.065196	0.063855
ordering	0.067453	0.057323	0.070752	0.065285	0.046281	0.072203	0.065927	0.062973	0.057585	0.073633	0.093599	0.074560	0.065156	0.090087	0.037183
an	0.054769	0.054579	0.065819	0.064555	0.047337	0.085366	0.053978	0.103040	0.057323	0.065344	0.091359	0.075270	0.076895	0.061500	0.042866
o	0.060481	0.046061	0.069766	0.068889	0.067833	0.065899	0.069212	0.061644	0.072123	0.074259	0.060031	0.076704	0.084272	0.057737	0.065089
##mel	0.070836	0.052585	0.053076	0.061189	0.058714	0.059259	0.073154	0.081397	0.070275	0.061416	0.075543	0.074210	0.088437	0.062660	0.057248
##ette	0.060685	0.078747	0.067935	0.087908	0.061025	0.068592	0.068008	0.066182	0.055698	0.075391	0.065478	0.069086	0.073011	0.048089	0.054164
.	0.081824	0.047431	0.055550	0.058212	0.052041	0.082057	0.072774	0.070187	0.053985	0.062782	0.078686	0.082055	0.087382	0.069069	0.045966
[SEP]	0.073833	0.037469	0.061580	0.072267	0.067940	0.064544	0.073597	0.070821	0.061174	0.097451	0.061601	0.087656	0.076189	0.052433	0.041444
