TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.093804	0.049118	0.061936	0.046323	0.062040	0.054773	0.101276	0.075396	0.073685	0.053048	0.076225	0.060456	0.054595	0.076449	0.060875
A	0.099123	0.059114	0.102374	0.046975	0.068543	0.056633	0.057469	0.061405	0.051778	0.069071	0.078396	0.065662	0.062640	0.062701	0.058117
person	0.084285	0.052364	0.080962	0.055478	0.057594	0.080602	0.060025	0.089874	0.073831	0.052627	0.060668	0.066535	0.075397	0.051008	0.058750
is	0.072320	0.068551	0.061626	0.047978	0.085382	0.053405	0.091018	0.065693	0.076561	0.067378	0.070738	0.062278	0.064682	0.058478	0.053913
at	0.097565	0.053353	0.092817	0.056496	0.052972	0.055566	0.065188	0.080602	0.070419	0.063317	0.071824	0.061869	0.062498	0.060572	0.054941
a	0.069940	0.047409	0.089564	0.050596	0.073581	0.080859	0.073742	0.093914	0.047073	0.043874	0.057469	0.073789	0.066864	0.081121	0.050205
diner	0.056931	0.045326	0.073140	0.052532	0.067333	0.050884	0.070544	0.067670	0.048907	0.062612	0.092943	0.095118	0.061938	0.076866	0.077256
,	0.048984	0.031368	0.071912	0.064219	0.065673	0.096898	0.058551	0.095181	0.060568	0.060878	0.070324	0.103203	0.043589	0.068532	0.060121
ordering	0.067185	0.038719	0.087670	0.058750	0.056660	0.063490	0.078009	0.091680	0.050420	0.053318	0.072517	0.085857	0.069603	0.061179	0.064945
an	0.075733	0.044890	0.085682	0.053787	0.066163	0.068933	0.082788	0.064632	0.042621	0.065162	0.092617	0.095288	0.052102	0.051158	0.058445
o	0.082815	0.041000	0.074590	0.045022	0.059621	0.063851	0.081639	0.104948	0.052589	0.052225	0.056673	0.088465	0.066796	0.072559	0.057207
##mel	0.070872	0.055229	0.084816	0.066643	0.054573	0.056780	0.073440	0.075778	0.050284	0.073681	0.080406	0.072897	0.050877	0.075741	0.057983
##ette	0.063483	0.054062	0.081025	0.055983	0.065201	0.066767	0.080776	0.087531	0.045958	0.061815	0.062062	0.072249	0.069382	0.063361	0.070344
.	0.069981	0.057721	0.076465	0.066262	0.072509	0.067825	0.082077	0.066079	0.059511	0.066623	0.068570	0.065479	0.054058	0.066395	0.060444
[SEP]	0.061988	0.054984	0.069054	0.069053	0.080598	0.056687	0.061276	0.055967	0.053864	0.065967	0.074481	0.078288	0.088228	0.074214	0.055350
