TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.078069	0.094051	0.076110	0.089173	0.074745	0.055762	0.057673	0.059727	0.052522	0.047343	0.062642	0.066133	0.057770	0.057911	0.070369
A	0.064871	0.082232	0.068091	0.084151	0.069311	0.066810	0.067254	0.055582	0.059423	0.089090	0.044385	0.057587	0.054328	0.066401	0.070484
person	0.065021	0.070093	0.062600	0.069234	0.081989	0.063043	0.047858	0.062382	0.055018	0.060564	0.064188	0.050185	0.078139	0.071551	0.098134
is	0.061420	0.069964	0.061467	0.068252	0.099676	0.074278	0.045816	0.060963	0.061430	0.094428	0.039702	0.044846	0.042728	0.081964	0.093067
at	0.063185	0.068404	0.063802	0.085161	0.055393	0.060499	0.046750	0.072076	0.081299	0.085304	0.049229	0.047414	0.062899	0.086598	0.071990
a	0.054147	0.062507	0.055307	0.081565	0.051911	0.082254	0.047279	0.054993	0.076648	0.100263	0.068248	0.064866	0.044947	0.079823	0.075243
diner	0.065864	0.072783	0.056632	0.074898	0.082621	0.092202	0.056920	0.079303	0.061232	0.077535	0.043718	0.045045	0.051338	0.055721	0.084186
,	0.075704	0.063459	0.069626	0.093972	0.059535	0.081465	0.038769	0.070228	0.075871	0.086055	0.052874	0.034745	0.065104	0.065902	0.066690
ordering	0.073421	0.073210	0.053509	0.088747	0.078628	0.058430	0.067800	0.060928	0.070089	0.082100	0.047055	0.066515	0.053522	0.050637	0.075408
an	0.054030	0.085687	0.049235	0.083642	0.074171	0.069027	0.054006	0.062796	0.071248	0.089176	0.055233	0.048714	0.058784	0.064383	0.079867
o	0.064981	0.088399	0.053820	0.082490	0.060195	0.074338	0.071088	0.055122	0.059156	0.077886	0.055177	0.052912	0.066605	0.071956	0.065875
##mel	0.041195	0.084829	0.039950	0.088834	0.093622	0.081679	0.055643	0.069738	0.063045	0.071060	0.051828	0.051211	0.049617	0.063380	0.094371
##ette	0.076504	0.073534	0.076090	0.079815	0.065230	0.065888	0.048727	0.076094	0.061708	0.079851	0.050514	0.034688	0.063832	0.067405	0.080121
.	0.064938	0.079101	0.072835	0.082004	0.080204	0.091978	0.048713	0.070872	0.059118	0.071370	0.048183	0.047585	0.054819	0.065544	0.062736
[SEP]	0.091788	0.039215	0.093535	0.069506	0.068002	0.060775	0.029312	0.075697	0.090603	0.084540	0.054683	0.032291	0.044187	0.071390	0.094476
