TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.051321	0.077168	0.064529	0.083851	0.057496	0.070557	0.057926	0.083899	0.095695	0.066541	0.047237	0.055662	0.065210	0.066415	0.056494
A	0.060834	0.043422	0.079791	0.057012	0.059463	0.057747	0.047105	0.079963	0.097594	0.096520	0.066400	0.070290	0.080887	0.054745	0.048225
person	0.088168	0.058895	0.077751	0.053555	0.069964	0.060170	0.063418	0.076120	0.107753	0.039377	0.057183	0.064203	0.086349	0.052726	0.044368
is	0.079612	0.048655	0.098774	0.068870	0.055279	0.036352	0.071399	0.084466	0.072826	0.058664	0.069041	0.065819	0.076093	0.062057	0.052095
at	0.060916	0.048559	0.086123	0.062992	0.072089	0.060340	0.077855	0.068929	0.086350	0.087600	0.058009	0.062329	0.059811	0.062371	0.045726
a	0.036193	0.045684	0.079715	0.064588	0.097162	0.036291	0.092333	0.074263	0.057745	0.054254	0.061772	0.056280	0.090581	0.060468	0.092670
diner	0.054396	0.080077	0.057375	0.071268	0.078519	0.052407	0.083779	0.083814	0.073170	0.057610	0.069295	0.059727	0.079768	0.045386	0.053408
,	0.047936	0.067119	0.072975	0.052459	0.069061	0.058885	0.075684	0.090769	0.092906	0.073822	0.071500	0.056732	0.069679	0.049720	0.050753
ordering	0.055639	0.067905	0.074062	0.082700	0.072544	0.053608	0.058590	0.080274	0.066706	0.058324	0.085877	0.066257	0.076406	0.051433	0.049675
an	0.058644	0.049472	0.076607	0.077354	0.086592	0.054190	0.073233	0.074237	0.088438	0.062274	0.061659	0.065259	0.057027	0.049691	0.065323
o	0.065440	0.068988	0.073991	0.041704	0.067673	0.081533	0.051537	0.064030	0.083854	0.043561	0.065380	0.066926	0.084370	0.060924	0.080090
##mel	0.063703	0.047700	0.076434	0.058767	0.075867	0.064517	0.058225	0.060824	0.087809	0.069227	0.054570	0.057157	0.069603	0.101140	0.054457
##ette	0.064102	0.069180	0.073606	0.047051	0.070447	0.072453	0.054798	0.056296	0.105987	0.069287	0.070124	0.054760	0.061683	0.054531	0.075696
.	0.044344	0.034315	0.074111	0.057363	0.082377	0.058114	0.065679	0.076374	0.090718	0.059875	0.060193	0.075882	0.082352	0.071280	0.067022
[SEP]	0.089640	0.075790	0.085381	0.053406	0.073558	0.054757	0.050449	0.057601	0.084727	0.060331	0.050049	0.057641	0.059100	0.076222	0.071347
