TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.083094	0.062606	0.051083	0.050730	0.046729	0.084469	0.052146	0.049490	0.062915	0.081620	0.073180	0.060301	0.092851	0.093484	0.055302
A	0.066992	0.062040	0.046118	0.061719	0.068804	0.063667	0.071990	0.056393	0.052765	0.078694	0.098143	0.041885	0.120752	0.066773	0.043264
person	0.050272	0.067334	0.034389	0.091762	0.072254	0.060131	0.081565	0.072850	0.054881	0.081258	0.066814	0.063214	0.085343	0.067526	0.050405
is	0.048334	0.062537	0.054867	0.049910	0.053686	0.062334	0.059224	0.079650	0.073165	0.070286	0.092033	0.069110	0.083428	0.072276	0.069160
at	0.055845	0.057793	0.038949	0.057020	0.101912	0.096851	0.086770	0.056830	0.058838	0.064859	0.104387	0.049715	0.057906	0.059059	0.053266
a	0.062728	0.054591	0.043117	0.090549	0.061472	0.046915	0.074280	0.088794	0.061782	0.075188	0.073270	0.054336	0.086907	0.072131	0.053942
diner	0.054009	0.049271	0.056725	0.087869	0.056947	0.048353	0.085602	0.097329	0.077305	0.081749	0.072264	0.062284	0.070458	0.050906	0.048930
,	0.060131	0.052018	0.038099	0.097183	0.056188	0.046797	0.059577	0.077525	0.085421	0.067138	0.079256	0.050223	0.110617	0.064403	0.055424
ordering	0.062454	0.055719	0.041321	0.071416	0.056277	0.057574	0.062540	0.084952	0.060587	0.078185	0.095615	0.054435	0.076178	0.077173	0.065574
an	0.067318	0.056999	0.051453	0.085501	0.073103	0.056639	0.064177	0.069462	0.087020	0.075694	0.077360	0.043286	0.072695	0.074241	0.045052
o	0.054021	0.047522	0.050814	0.077320	0.057343	0.073058	0.058346	0.071652	0.067869	0.068535	0.065329	0.064825	0.079488	0.098899	0.064978
##mel	0.042932	0.041651	0.063804	0.042974	0.076366	0.065562	0.059467	0.094660	0.104821	0.085753	0.084475	0.046984	0.065148	0.065918	0.059485
##ette	0.044695	0.053641	0.038227	0.061287	0.080415	0.072898	0.072059	0.073820	0.063334	0.103240	0.064413	0.062970	0.095621	0.073880	0.039501
.	0.078089	0.041097	0.029001	0.072840	0.069248	0.057154	0.070985	0.089449	0.053383	0.072022	0.045787	0.055735	0.121537	0.089868	0.053803
[SEP]	0.066566	0.049656	0.054660	0.055285	0.063584	0.065272	0.072361	0.108917	0.069115	0.088201	0.075492	0.056547	0.062330	0.055186	0.056827
