TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.061516	0.067839	0.058065	0.065884	0.065439	0.069311	0.064067	0.041704	0.091084	0.055117	0.072400	0.076502	0.065005	0.052638	0.093429
A	0.061148	0.046333	0.079775	0.042064	0.063628	0.063144	0.048607	0.034102	0.047520	0.062713	0.128311	0.085036	0.044401	0.067506	0.125711
person	0.093926	0.058501	0.047611	0.071917	0.068333	0.057204	0.080801	0.039807	0.089426	0.066197	0.059506	0.048969	0.067107	0.057135	0.093559
is	0.054080	0.077941	0.062027	0.056653	0.077689	0.055183	0.063824	0.040909	0.062983	0.093621	0.077806	0.065538	0.054475	0.056481	0.100789
at	0.074503	0.056135	0.071071	0.038562	0.097986	0.052973	0.049391	0.040963	0.053621	0.081263	0.081007	0.067538	0.047631	0.074049	0.113307
a	0.050090	0.087910	0.078972	0.070852	0.073846	0.063949	0.063312	0.038270	0.060841	0.060221	0.070867	0.074060	0.041772	0.092466	0.072572
diner	0.055155	0.086465	0.054305	0.076323	0.061022	0.056904	0.049601	0.040742	0.079995	0.072663	0.055642	0.073392	0.058948	0.080394	0.098447
,	0.059658	0.060227	0.105740	0.038291	0.097474	0.090453	0.054799	0.033098	0.065090	0.053070	0.079503	0.072284	0.040212	0.072215	0.077887
ordering	0.063451	0.074589	0.099298	0.038357	0.078320	0.054482	0.040322	0.037140	0.073048	0.058045	0.118901	0.065192	0.060634	0.064811	0.073410
an	0.079096	0.059647	0.067616	0.064849	0.065186	0.053471	0.052611	0.033676	0.065453	0.061815	0.105515	0.079111	0.046316	0.075458	0.090179
o	0.060706	0.091465	0.077103	0.074336	0.066472	0.053626	0.058352	0.040855	0.065284	0.079912	0.080915	0.046689	0.044364	0.075335	0.084587
##mel	0.080905	0.083360	0.064531	0.056472	0.062373	0.057776	0.053680	0.028762	0.058558	0.062595	0.073543	0.049023	0.065544	0.063310	0.139567
##ette	0.071053	0.067326	0.071889	0.050069	0.053086	0.077928	0.052837	0.039742	0.082359	0.057571	0.111767	0.047796	0.049862	0.073450	0.093266
.	0.060240	0.064744	0.056068	0.058949	0.065022	0.059279	0.056602	0.048349	0.085787	0.047504	0.115850	0.074899	0.060813	0.069850	0.076045
[SEP]	0.082308	0.057165	0.063649	0.049970	0.059539	0.069846	0.070992	0.043151	0.089281	0.073203	0.081350	0.061770	0.057924	0.076038	0.063815
