TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.058908	0.050978	0.100462	0.055786	0.075224	0.058439	0.077134	0.089234	0.057291	0.058691	0.064555	0.057802	0.072269	0.062138	0.061089
A	0.060598	0.057889	0.107441	0.062930	0.057895	0.063575	0.064468	0.061654	0.070517	0.069338	0.072174	0.078211	0.070446	0.048477	0.054387
person	0.050385	0.071774	0.106716	0.054715	0.062838	0.050097	0.082319	0.092582	0.050166	0.073448	0.070103	0.062961	0.068278	0.048317	0.055301
is	0.052738	0.059629	0.071109	0.075844	0.069372	0.069777	0.085126	0.088490	0.072033	0.067986	0.055972	0.060381	0.070873	0.059072	0.041599
at	0.059960	0.062159	0.059334	0.064154	0.078495	0.070278	0.073053	0.068961	0.072653	0.067892	0.060554	0.062654	0.086073	0.051191	0.062588
a	0.084877	0.065506	0.102141	0.052125	0.078757	0.058767	0.060431	0.089481	0.057631	0.057608	0.056399	0.065731	0.067750	0.050582	0.052215
diner	0.057714	0.064144	0.090616	0.089457	0.069263	0.063675	0.078796	0.068872	0.066748	0.072584	0.056590	0.055622	0.064791	0.044365	0.056762
,	0.070261	0.065778	0.077941	0.061669	0.080042	0.070459	0.068008	0.086093	0.066763	0.045781	0.055100	0.065512	0.073488	0.048418	0.064686
ordering	0.068851	0.050553	0.083855	0.051271	0.072618	0.064883	0.076517	0.128360	0.062343	0.066413	0.052828	0.055683	0.075016	0.046622	0.044186
an	0.063538	0.075139	0.059865	0.077518	0.091905	0.045948	0.089178	0.089087	0.056130	0.053989	0.047910	0.061508	0.072894	0.060524	0.054865
o	0.053127	0.055815	0.093807	0.075366	0.065613	0.068115	0.085488	0.092104	0.053317	0.068225	0.059122	0.060192	0.059644	0.052308	0.057758
##mel	0.063166	0.073702	0.089629	0.064311	0.084980	0.047080	0.074570	0.082415	0.060340	0.066283	0.055137	0.073418	0.057273	0.052779	0.054918
##ette	0.061411	0.047363	0.083303	0.078833	0.080707	0.066234	0.078432	0.086963	0.059826	0.055405	0.048740	0.062580	0.072450	0.044548	0.073205
.	0.041296	0.045910	0.081607	0.072263	0.074445	0.045916	0.106777	0.075250	0.074193	0.065695	0.062381	0.061203	0.076621	0.039697	0.076747
[SEP]	0.060680	0.058522	0.090488	0.064633	0.069155	0.064776	0.066180	0.074656	0.063437	0.069665	0.064656	0.052204	0.078936	0.060042	0.061969
