TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.071573	0.082078	0.075978	0.063003	0.064674	0.085963	0.065164	0.065272	0.063337	0.050637	0.054349	0.061197	0.061425	0.066344	0.069006
A	0.060283	0.040223	0.069825	0.067172	0.094162	0.077853	0.075411	0.059173	0.069399	0.061492	0.060498	0.054103	0.074139	0.069798	0.066468
person	0.065344	0.051205	0.097210	0.053431	0.061556	0.083209	0.067751	0.086818	0.061453	0.067355	0.045946	0.068200	0.073454	0.048684	0.068384
is	0.065559	0.057105	0.074086	0.050083	0.073947	0.077961	0.084880	0.090453	0.076547	0.069627	0.059595	0.044412	0.051425	0.048202	0.076118
at	0.047359	0.059435	0.063264	0.077501	0.086705	0.079635	0.068937	0.048649	0.077686	0.070225	0.052204	0.078067	0.060618	0.060378	0.069337
a	0.066962	0.084182	0.069688	0.064010	0.075143	0.073262	0.075836	0.058797	0.089533	0.067442	0.050949	0.087962	0.042279	0.046336	0.047619
diner	0.080922	0.083087	0.067138	0.046860	0.077178	0.083655	0.064538	0.062669	0.068467	0.058088	0.057216	0.081769	0.063922	0.050932	0.053559
,	0.057171	0.057455	0.094913	0.040357	0.067460	0.102145	0.071922	0.086748	0.051519	0.082325	0.049303	0.058690	0.073491	0.049631	0.056870
ordering	0.050711	0.077167	0.074984	0.069455	0.069314	0.106748	0.075599	0.057483	0.056222	0.057696	0.050644	0.054145	0.050647	0.047876	0.101308
an	0.067124	0.060420	0.067912	0.096004	0.075087	0.071123	0.067060	0.068537	0.069305	0.061925	0.041256	0.071832	0.054982	0.078983	0.048449
o	0.070907	0.084842	0.062559	0.048028	0.092173	0.091973	0.060950	0.075598	0.073160	0.059943	0.058430	0.048463	0.060648	0.050311	0.062013
##mel	0.065541	0.058677	0.068130	0.065942	0.077646	0.081275	0.061180	0.064014	0.074749	0.061404	0.073702	0.067129	0.054779	0.050964	0.074870
##ette	0.067015	0.053399	0.065460	0.069723	0.061952	0.076736	0.053809	0.064144	0.075433	0.066175	0.049253	0.093427	0.067067	0.090412	0.045997
.	0.058270	0.087015	0.069526	0.052499	0.076435	0.092954	0.061495	0.061831	0.047424	0.065020	0.048918	0.080042	0.054970	0.058344	0.085258
[SEP]	0.064846	0.066843	0.066119	0.067518	0.076488	0.077513	0.068470	0.067080	0.061347	0.057897	0.079648	0.056293	0.064651	0.057461	0.067824
