TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.093837	0.050574	0.057819	0.051658	0.049797	0.089703	0.060357	0.070853	0.097737	0.092873	0.064870	0.044688	0.048753	0.067342	0.059139
A	0.046474	0.079140	0.070707	0.095691	0.061448	0.070073	0.066490	0.072001	0.059710	0.056244	0.053748	0.065821	0.085084	0.062886	0.054484
person	0.058235	0.045936	0.043335	0.057916	0.071499	0.079924	0.083149	0.059039	0.083798	0.087583	0.072897	0.055322	0.079832	0.073087	0.048450
is	0.071727	0.065244	0.062688	0.059021	0.054602	0.075345	0.069495	0.075117	0.059601	0.109540	0.061096	0.069353	0.054918	0.073357	0.038895
at	0.053448	0.066973	0.045892	0.070985	0.056156	0.096476	0.053279	0.077390	0.086810	0.069296	0.058316	0.058935	0.074104	0.078292	0.053648
a	0.061265	0.057152	0.051155	0.070247	0.060257	0.077553	0.071208	0.065958	0.076380	0.071153	0.066457	0.055418	0.090614	0.076191	0.048992
diner	0.047220	0.060270	0.083717	0.074424	0.058262	0.075864	0.092315	0.059024	0.064772	0.047087	0.054493	0.075064	0.060994	0.080339	0.066154
,	0.065487	0.057810	0.074514	0.062067	0.062182	0.066547	0.070115	0.080099	0.054858	0.068896	0.072116	0.045053	0.064808	0.075956	0.079490
ordering	0.050469	0.063978	0.061052	0.062806	0.056023	0.093435	0.077770	0.059625	0.075013	0.069264	0.061194	0.049560	0.074066	0.083162	0.062581
an	0.050008	0.082883	0.044222	0.091015	0.063405	0.082990	0.067047	0.076514	0.072184	0.051791	0.056398	0.061753	0.077992	0.080295	0.041504
o	0.062228	0.069561	0.040414	0.053654	0.072838	0.095195	0.081873	0.059399	0.057838	0.075407	0.066179	0.046369	0.072608	0.088414	0.058024
##mel	0.054507	0.088360	0.053637	0.064514	0.068923	0.067496	0.064355	0.061554	0.082359	0.087641	0.063223	0.056576	0.056041	0.074712	0.056100
##ette	0.062528	0.059902	0.065042	0.074998	0.063778	0.101399	0.072419	0.064585	0.078612	0.088493	0.043597	0.039766	0.068688	0.061831	0.054363
.	0.071384	0.046546	0.058970	0.067609	0.052677	0.072034	0.078781	0.095950	0.071170	0.060637	0.067980	0.037783	0.065348	0.088496	0.064637
[SEP]	0.060466	0.058429	0.065835	0.058432	0.057042	0.089708	0.060028	0.053894	0.089646	0.065630	0.057906	0.054090	0.079311	0.086392	0.063192
