TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.068372	0.067817	0.069304	0.075391	0.066126	0.043884	0.043579	0.078518	0.052139	0.071678	0.034297	0.052619	0.112608	0.080040	0.083626
A	0.061350	0.048766	0.080310	0.067783	0.078187	0.060324	0.078457	0.051062	0.062957	0.068310	0.042928	0.082667	0.084573	0.061068	0.071258
person	0.046299	0.047701	0.100199	0.057143	0.075097	0.058330	0.068364	0.084331	0.059706	0.090741	0.044585	0.047313	0.062123	0.076655	0.081412
is	0.066471	0.054100	0.073475	0.054929	0.069580	0.054796	0.050897	0.099872	0.051619	0.067796	0.041427	0.060702	0.091211	0.056024	0.107101
at	0.061964	0.065289	0.097688	0.070021	0.069217	0.051596	0.052902	0.068174	0.064638	0.063087	0.047879	0.078448	0.073753	0.067752	0.067592
a	0.048639	0.045103	0.079419	0.088420	0.069990	0.046144	0.073410	0.076793	0.062925	0.049827	0.038727	0.066765	0.071193	0.078519	0.104127
diner	0.062988	0.051862	0.091691	0.084907	0.051148	0.047472	0.053708	0.090712	0.050750	0.042529	0.047450	0.076998	0.122630	0.056388	0.068766
,	0.073282	0.050073	0.093521	0.067828	0.082502	0.044800	0.061396	0.072687	0.050566	0.070071	0.044612	0.059560	0.083197	0.065073	0.080831
ordering	0.056532	0.071820	0.074179	0.071117	0.082594	0.049953	0.070106	0.074340	0.059229	0.072796	0.039369	0.066897	0.086927	0.061795	0.062345
an	0.076005	0.057385	0.080801	0.078130	0.075008	0.036983	0.054897	0.042668	0.058324	0.092044	0.043830	0.056994	0.084087	0.068116	0.094727
o	0.060540	0.043845	0.071628	0.060632	0.069145	0.055130	0.070500	0.088145	0.061422	0.085546	0.038628	0.062899	0.086165	0.059124	0.086652
##mel	0.065769	0.049312	0.091338	0.077343	0.069190	0.041801	0.055024	0.086558	0.052394	0.060035	0.041687	0.083510	0.084912	0.081518	0.059610
##ette	0.073218	0.057649	0.068273	0.063820	0.065134	0.045325	0.057339	0.068555	0.049961	0.107687	0.036760	0.064166	0.104168	0.069133	0.068811
.	0.061641	0.057992	0.110290	0.079709	0.085715	0.048843	0.061546	0.059599	0.050755	0.065469	0.037256	0.064226	0.065992	0.066730	0.084237
[SEP]	0.071757	0.076062	0.076947	0.086922	0.070855	0.043142	0.047894	0.066545	0.045975	0.071027	0.039669	0.076317	0.107837	0.062656	0.056395
