TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.061989	0.074285	0.086410	0.068736	0.052156	0.068038	0.061267	0.065549	0.046449	0.060929	0.053026	0.106810	0.059242	0.065294	0.069820
A	0.089301	0.064576	0.091166	0.049288	0.048475	0.063293	0.086732	0.059240	0.060337	0.078049	0.051894	0.076585	0.075151	0.051618	0.054294
person	0.055505	0.087667	0.092176	0.037043	0.063961	0.069570	0.064899	0.084630	0.054119	0.068966	0.049218	0.097575	0.072936	0.051027	0.050708
is	0.120270	0.062467	0.109765	0.047343	0.052694	0.081143	0.066723	0.054670	0.060573	0.074923	0.044035	0.054514	0.065796	0.050645	0.054439
at	0.106186	0.055073	0.088868	0.044430	0.060710	0.054824	0.058500	0.052333	0.053359	0.091002	0.053970	0.064639	0.087451	0.055713	0.072942
a	0.102995	0.069148	0.074071	0.053506	0.046497	0.042360	0.072108	0.060600	0.092024	0.086981	0.045395	0.059059	0.085154	0.052896	0.057207
diner	0.078426	0.047096	0.074772	0.049718	0.068395	0.078382	0.058221	0.049975	0.048390	0.092329	0.060084	0.063921	0.102799	0.053206	0.074285
,	0.086287	0.041856	0.083389	0.051911	0.071939	0.064711	0.046685	0.065676	0.062261	0.080898	0.044293	0.063406	0.095207	0.043491	0.097992
ordering	0.089257	0.041089	0.062418	0.028361	0.052916	0.095356	0.070815	0.044555	0.084624	0.115030	0.048643	0.053961	0.100465	0.057182	0.055326
an	0.085553	0.053388	0.065939	0.056262	0.051186	0.071781	0.052563	0.082358	0.054224	0.090732	0.039894	0.078751	0.093844	0.065142	0.058385
o	0.074802	0.063624	0.048123	0.048962	0.067997	0.078080	0.086762	0.059203	0.068384	0.082613	0.046149	0.073056	0.072804	0.052462	0.076980
##mel	0.085850	0.058002	0.061872	0.056142	0.043653	0.085254	0.086164	0.051848	0.055192	0.076033	0.052839	0.047907	0.087029	0.063972	0.088242
##ette	0.124685	0.066628	0.063647	0.048438	0.073350	0.041292	0.071240	0.054151	0.065636	0.080344	0.052831	0.063491	0.071854	0.056910	0.065504
.	0.084828	0.071669	0.052929	0.043100	0.069240	0.054754	0.071437	0.072432	0.084293	0.066844	0.048340	0.080105	0.065665	0.060959	0.073407
[SEP]	0.104362	0.041565	0.155121	0.047949	0.050463	0.060285	0.053903	0.051472	0.037584	0.064138	0.064593	0.078812	0.078251	0.050126	0.061376
