TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.058784	0.038950	0.073740	0.041871	0.084494	0.055582	0.079069	0.077030	0.079911	0.047541	0.077376	0.086482	0.059945	0.085003	0.054223
A	0.076937	0.053200	0.061637	0.039684	0.075582	0.060275	0.054311	0.073954	0.054414	0.058041	0.079856	0.088836	0.081730	0.080580	0.060964
person	0.043502	0.059111	0.081865	0.043680	0.063690	0.055476	0.089104	0.059179	0.088658	0.079430	0.081733	0.085116	0.051763	0.064218	0.053474
is	0.066080	0.056703	0.063498	0.040432	0.082253	0.064608	0.086629	0.067183	0.091482	0.060387	0.057717	0.089793	0.061000	0.060275	0.051959
at	0.041237	0.066117	0.062648	0.049202	0.077147	0.075810	0.082922	0.070722	0.096654	0.070729	0.053981	0.082657	0.052034	0.063740	0.054400
a	0.037502	0.054228	0.044256	0.048006	0.099933	0.054617	0.078709	0.042099	0.109664	0.059920	0.090571	0.108931	0.064730	0.060301	0.046533
diner	0.054623	0.059235	0.050622	0.049396	0.085698	0.056270	0.080240	0.068932	0.068330	0.055858	0.085565	0.090269	0.064068	0.080482	0.050414
,	0.063396	0.053771	0.067775	0.036283	0.090005	0.048696	0.089659	0.054664	0.078717	0.069651	0.068412	0.107859	0.049997	0.073016	0.048100
ordering	0.064283	0.049029	0.067821	0.042116	0.084793	0.060211	0.063296	0.052653	0.075633	0.048607	0.080781	0.100599	0.077532	0.075223	0.057425
an	0.040508	0.046525	0.066265	0.034780	0.081635	0.054884	0.083007	0.085784	0.060096	0.080485	0.088072	0.095577	0.046735	0.085738	0.049908
o	0.057131	0.049335	0.052535	0.044280	0.079559	0.062245	0.074872	0.051896	0.094258	0.048439	0.076404	0.088591	0.078002	0.074709	0.067745
##mel	0.051274	0.048869	0.068166	0.056246	0.079203	0.070308	0.061747	0.055699	0.106103	0.059700	0.056726	0.085064	0.062801	0.063533	0.074563
##ette	0.051720	0.046102	0.083864	0.035923	0.088056	0.064101	0.068116	0.081489	0.078947	0.053934	0.077095	0.068380	0.073970	0.080740	0.047563
.	0.064133	0.065621	0.071411	0.047057	0.074323	0.055964	0.066318	0.054809	0.084757	0.042729	0.077143	0.094793	0.072622	0.076457	0.051863
[SEP]	0.042196	0.086518	0.058936	0.044198	0.074612	0.070856	0.088993	0.087406	0.078089	0.044827	0.073593	0.066504	0.064718	0.056206	0.062348
