TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.044516	0.075556	0.068637	0.078195	0.053041	0.065083	0.056240	0.054808	0.083155	0.057426	0.062704	0.049495	0.087695	0.080649	0.082799
A	0.055251	0.074962	0.061294	0.061464	0.046999	0.107503	0.053192	0.058093	0.092871	0.069071	0.045272	0.044482	0.074267	0.094833	0.060447
person	0.056241	0.082175	0.081233	0.062093	0.068150	0.080263	0.056953	0.063013	0.065127	0.046613	0.065904	0.053002	0.058207	0.065249	0.095773
is	0.054817	0.084844	0.076375	0.064987	0.066079	0.070124	0.065967	0.044825	0.075880	0.050246	0.056375	0.053612	0.081125	0.076580	0.078164
at	0.053160	0.062866	0.082315	0.067385	0.070248	0.061584	0.061937	0.049311	0.084155	0.065205	0.054024	0.069360	0.073251	0.082210	0.062988
a	0.050815	0.063651	0.072626	0.070997	0.067697	0.071973	0.081114	0.063004	0.072809	0.075958	0.052919	0.050765	0.055233	0.053246	0.097193
diner	0.060998	0.078328	0.067158	0.063579	0.068302	0.067438	0.063387	0.049116	0.085815	0.045556	0.053209	0.063562	0.062702	0.084384	0.086465
,	0.048301	0.080122	0.052162	0.055174	0.075817	0.059193	0.067782	0.052242	0.109157	0.042752	0.069501	0.059292	0.070392	0.068054	0.090061
ordering	0.053383	0.080022	0.061408	0.076790	0.063847	0.061646	0.073331	0.042938	0.082283	0.058952	0.058429	0.054345	0.072309	0.068194	0.092122
an	0.049668	0.083660	0.091247	0.066718	0.076314	0.058311	0.061055	0.043537	0.091853	0.070700	0.053817	0.050685	0.072775	0.084626	0.045033
o	0.046898	0.083451	0.075879	0.073136	0.060635	0.066913	0.066748	0.042886	0.073812	0.063868	0.062031	0.057139	0.067808	0.076360	0.082436
##mel	0.064507	0.087386	0.109792	0.081869	0.062743	0.073238	0.050056	0.039606	0.070659	0.055980	0.047706	0.052424	0.057623	0.058725	0.087685
##ette	0.053556	0.087069	0.078244	0.065463	0.064436	0.073089	0.052213	0.040410	0.073136	0.061180	0.051906	0.050949	0.085092	0.077085	0.086171
.	0.055941	0.075067	0.081253	0.070360	0.057744	0.068387	0.057069	0.045369	0.092424	0.066452	0.064414	0.053770	0.067340	0.077068	0.067344
[SEP]	0.050624	0.054390	0.086335	0.056880	0.079810	0.058328	0.066540	0.044538	0.079906	0.069826	0.072151	0.074722	0.078454	0.075750	0.051744
