TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.051188	0.079018	0.074102	0.064135	0.075978	0.054754	0.065462	0.075842	0.083129	0.066204	0.063024	0.077280	0.046050	0.068672	0.055161
A	0.091347	0.058410	0.057053	0.053003	0.061621	0.059151	0.065754	0.061293	0.055657	0.079865	0.081812	0.056434	0.061767	0.096980	0.059854
person	0.060475	0.070696	0.081825	0.055794	0.077744	0.061576	0.064877	0.049705	0.070575	0.047368	0.117068	0.052011	0.068834	0.056735	0.064716
is	0.084141	0.074509	0.054605	0.044285	0.061340	0.049505	0.073970	0.047198	0.058933	0.096927	0.056717	0.068251	0.059048	0.114044	0.056528
at	0.064772	0.110059	0.069445	0.065781	0.066090	0.067211	0.039135	0.076835	0.090235	0.046477	0.075859	0.057618	0.051859	0.071186	0.047437
a	0.101759	0.080428	0.055092	0.054214	0.075253	0.055971	0.043971	0.071164	0.057026	0.064449	0.063218	0.064584	0.060864	0.093028	0.058978
diner	0.066736	0.061834	0.054211	0.059462	0.091211	0.075271	0.063171	0.064165	0.054504	0.049836	0.090442	0.078921	0.067856	0.056731	0.065649
,	0.076949	0.059628	0.039615	0.057465	0.062495	0.093232	0.074702	0.059885	0.071938	0.052115	0.094427	0.053263	0.062578	0.065223	0.076484
ordering	0.111013	0.089776	0.050823	0.049830	0.054287	0.060842	0.052674	0.043775	0.073221	0.058201	0.061168	0.064716	0.083018	0.065926	0.080729
an	0.067663	0.060488	0.055042	0.068202	0.063311	0.062707	0.070360	0.066775	0.089211	0.073154	0.068365	0.053623	0.054031	0.080526	0.066542
o	0.089977	0.064259	0.053825	0.032480	0.068730	0.057823	0.078202	0.088299	0.071839	0.057504	0.071441	0.043840	0.063288	0.097327	0.061167
##mel	0.084709	0.096318	0.057231	0.044100	0.084686	0.076282	0.064261	0.065750	0.054887	0.053047	0.091761	0.055791	0.045477	0.066684	0.059015
##ette	0.085823	0.076210	0.066939	0.052300	0.062258	0.069953	0.056649	0.076056	0.073008	0.063591	0.074882	0.055745	0.050081	0.061906	0.074600
.	0.087213	0.065644	0.058206	0.050702	0.055004	0.062514	0.057535	0.071153	0.063625	0.055713	0.078251	0.043901	0.064239	0.102718	0.083582
[SEP]	0.059184	0.061558	0.043794	0.057580	0.063029	0.071482	0.054537	0.078777	0.103976	0.052717	0.085348	0.059078	0.048744	0.104699	0.055498
